"STUDYID","DOMAIN","USUBJID","SUBJID","RFSTDTC","RFENDTC","SITEID","BRTHDTC","AGE","AGETXT","AGEU","SEX","SPECIES","STRAIN","SBSTRAIN","ARMCD","ARM","SETCD"
"PDS2014","DM","PDS2014-0001","1","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"01","M - Vehicle","01"
"PDS2014","DM","PDS2014-0002","2","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"01","M - Vehicle","01"
"PDS2014","DM","PDS2014-0003","3","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"01","M - Vehicle","01"
"PDS2014","DM","PDS2014-0004","4","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"01","M - Vehicle","01"
"PDS2014","DM","PDS2014-0005","5","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"01","M - Vehicle","01"
"PDS2014","DM","PDS2014-0006","6","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"01","M - Vehicle","01"
"PDS2014","DM","PDS2014-0007","7","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"01","M - Vehicle","01"
"PDS2014","DM","PDS2014-0008","8","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"01","M - Vehicle","01"
"PDS2014","DM","PDS2014-0009","9","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"01","M - Vehicle","01"
"PDS2014","DM","PDS2014-0010","10","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"01","M - Vehicle","01"
"PDS2014","DM","PDS2014-0011","11","2010-12-11","2011-02-06",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"02","M - Vehicle - with recovery","02"
"PDS2014","DM","PDS2014-0012","12","2010-12-11","2011-02-06",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"02","M - Vehicle - with recovery","02"
"PDS2014","DM","PDS2014-0013","13","2010-12-11","2011-02-06",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"02","M - Vehicle - with recovery","02"
"PDS2014","DM","PDS2014-0014","14","2010-12-11","2011-02-06",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"02","M - Vehicle - with recovery","02"
"PDS2014","DM","PDS2014-0015","15","2010-12-11","2011-02-06",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"02","M - Vehicle - with recovery","02"
"PDS2014","DM","PDS2014-0016","16","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"01","M - Vehicle","03"
"PDS2014","DM","PDS2014-0017","17","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"01","M - Vehicle","03"
"PDS2014","DM","PDS2014-0018","18","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"01","M - Vehicle","03"
"PDS2014","DM","PDS2014-0021","21","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"03","M - Low","04"
"PDS2014","DM","PDS2014-0022","22","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"03","M - Low","04"
"PDS2014","DM","PDS2014-0023","23","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"03","M - Low","04"
"PDS2014","DM","PDS2014-0024","24","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"03","M - Low","04"
"PDS2014","DM","PDS2014-0025","25","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"03","M - Low","04"
"PDS2014","DM","PDS2014-0026","26","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"03","M - Low","04"
"PDS2014","DM","PDS2014-0027","27","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"03","M - Low","04"
"PDS2014","DM","PDS2014-0028","28","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"03","M - Low","04"
"PDS2014","DM","PDS2014-0029","29","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"03","M - Low","04"
"PDS2014","DM","PDS2014-0030","30","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"03","M - Low","04"
"PDS2014","DM","PDS2014-0031","31","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"03","M - Low","05"
"PDS2014","DM","PDS2014-0032","32","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"03","M - Low","05"
"PDS2014","DM","PDS2014-0033","33","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"03","M - Low","05"
"PDS2014","DM","PDS2014-0041","41","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"04","M - Medium","06"
"PDS2014","DM","PDS2014-0042","42","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"04","M - Medium","06"
"PDS2014","DM","PDS2014-0043","43","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"04","M - Medium","06"
"PDS2014","DM","PDS2014-0044","44","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"04","M - Medium","06"
"PDS2014","DM","PDS2014-0045","45","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"04","M - Medium","06"
"PDS2014","DM","PDS2014-0046","46","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"04","M - Medium","06"
"PDS2014","DM","PDS2014-0047","47","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"04","M - Medium","06"
"PDS2014","DM","PDS2014-0048","48","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"04","M - Medium","06"
"PDS2014","DM","PDS2014-0049","49","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"04","M - Medium","06"
"PDS2014","DM","PDS2014-0050","50","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"04","M - Medium","06"
"PDS2014","DM","PDS2014-0051","51","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"04","M - Medium","07"
"PDS2014","DM","PDS2014-0052","52","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"04","M - Medium","07"
"PDS2014","DM","PDS2014-0053","53","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"04","M - Medium","07"
"PDS2014","DM","PDS2014-0061","61","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"05","M - High","08"
"PDS2014","DM","PDS2014-0062","62","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"05","M - High","08"
"PDS2014","DM","PDS2014-0063","63","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"05","M - High","08"
"PDS2014","DM","PDS2014-0064","64","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"05","M - High","08"
"PDS2014","DM","PDS2014-0065","65","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"05","M - High","08"
"PDS2014","DM","PDS2014-0066","66","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"05","M - High","08"
"PDS2014","DM","PDS2014-0067","67","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"05","M - High","08"
"PDS2014","DM","PDS2014-0068","68","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"05","M - High","08"
"PDS2014","DM","PDS2014-0069","69","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"05","M - High","08"
"PDS2014","DM","PDS2014-0070","70","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"05","M - High","08"
"PDS2014","DM","PDS2014-0071","71","2010-12-11","2011-02-06",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"06","M - High - with recovery","09"
"PDS2014","DM","PDS2014-0072","72","2010-12-11","2011-02-06",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"06","M - High - with recovery","09"
"PDS2014","DM","PDS2014-0073","73","2010-12-11","2011-02-06",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"06","M - High - with recovery","09"
"PDS2014","DM","PDS2014-0074","74","2010-12-11","2011-02-06",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"06","M - High - with recovery","09"
"PDS2014","DM","PDS2014-0075","75","2010-12-11","2011-02-06",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"06","M - High - with recovery","09"
"PDS2014","DM","PDS2014-0076","76","2010-12-11","2011-01-11",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"05","M - High","10"
"PDS2014","DM","PDS2014-0077","77","2010-12-11","2011-01-11",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"05","M - High","10"
"PDS2014","DM","PDS2014-0078","78","2010-12-11","2011-01-11",NA,NA,0,NA,"DAYS","M","RAT","SPRAGUE-DAWLEY",NA,"05","M - High","10"
"PDS2014","DM","PDS2014-0101","101","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"09","F - Vehicle","13"
"PDS2014","DM","PDS2014-0102","102","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"09","F - Vehicle","13"
"PDS2014","DM","PDS2014-0103","103","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"09","F - Vehicle","13"
"PDS2014","DM","PDS2014-0104","104","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"09","F - Vehicle","13"
"PDS2014","DM","PDS2014-0105","105","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"09","F - Vehicle","13"
"PDS2014","DM","PDS2014-0106","106","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"09","F - Vehicle","13"
"PDS2014","DM","PDS2014-0107","107","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"09","F - Vehicle","13"
"PDS2014","DM","PDS2014-0108","108","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"09","F - Vehicle","13"
"PDS2014","DM","PDS2014-0109","109","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"09","F - Vehicle","13"
"PDS2014","DM","PDS2014-0110","110","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"09","F - Vehicle","13"
"PDS2014","DM","PDS2014-0111","111","2010-12-11","2011-02-06",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"10","F - Vehicle - with recovery","14"
"PDS2014","DM","PDS2014-0112","112","2010-12-11","2011-02-06",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"10","F - Vehicle - with recovery","14"
"PDS2014","DM","PDS2014-0113","113","2010-12-11","2011-02-06",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"10","F - Vehicle - with recovery","14"
"PDS2014","DM","PDS2014-0114","114","2010-12-11","2011-02-06",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"10","F - Vehicle - with recovery","14"
"PDS2014","DM","PDS2014-0115","115","2010-12-11","2011-02-06",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"10","F - Vehicle - with recovery","14"
