"STUDYID","DOMAIN","USUBJID","POOLID","EXSEQ","EXTRT","EXDOSE","EXDOSTXT","EXDOSU","EXDOSFRM","EXDOSFRQ","EXROUTE","EXLOT","EXLOC","EXMETHOD","EXTRTV","EXVAMT","EXVAMTU","EXADJ","EXSTDTC","EXENDTC","EXSTDY","EXENDY","EXDUR","EXTPT","EXTPTNUM","EXELTM","EXTPTREF","EXRFTDTC"
"PDS2014","EX","PDS2014-0001",NA,1,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-11T09:30:54",NA,1,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,2,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-12T10:26:35",NA,2,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,3,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-13T11:02:22",NA,3,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,4,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-14T09:46:02",NA,4,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,5,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-15T08:30:14",NA,5,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,6,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-16T08:52:19",NA,6,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,7,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-17T07:58:09",NA,7,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,8,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-18T08:04:18",NA,8,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,9,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-19T11:35:22",NA,9,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,10,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-20T10:49:36",NA,10,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,11,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-21T07:22:26",NA,11,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,12,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-22T08:02:07",NA,12,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,13,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-23T07:21:33",NA,13,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,14,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-24T07:52:30",NA,14,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,15,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-25T07:27:10",NA,15,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,16,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-26T07:05:03",NA,16,NA,NA,NA,NA,NA,NA,NA
