"STUDYID","DOMAIN","USUBJID","POOLID","LBSEQ","LBGRPID","LBREFID","LBSPID","LBTESTCD","LBTEST","LBCAT","LBSCAT","LBORRES","LBORRESU","LBORNRLO","LBORNRHI","LBSTRESC","LBSTRESN","LBSTRESU","LBSTNRLO","LBSTNRHI","LBSTNRC","LBNRIND","LBSTAT","LBREASND","LBNAM","LBSPEC","LBANTREG","LBSPCCND","LBSPCUFL","LBLOC","LBLAT","LBDIR","LBPORTOT","LBMETHOD","LBBLFL","LBFAST","LBDRVFL","LBTOX","LBTOXGR","LBEXCLFL","LBREASEX","VISITDY","LBDTC","LBENDTC","LBDY","LBENDY","LBTPT","LBTPTNUM","LBELTM","LBTPTREF","LBRFTDTC"
"PDS2014","LB","PDS2014-0001",NA,1,NA,NA,NA,"PROT","Protein","URINALYSIS",NA,"25","mg/dL",NA,NA,"25",25,"mg/dL",NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2011-01-09T07:14:04",NA,30,NA,NA,NA,NA,NA,NA
"PDS2014","LB","PDS2014-0001",NA,2,NA,NA,NA,"GLUC","Glucose","URINALYSIS",NA,"NORM",NA,NA,NA,"NORM",NA,NA,NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2011-01-09T07:14:04",NA,30,NA,NA,NA,NA,NA,NA
"PDS2014","LB","PDS2014-0001",NA,3,NA,NA,NA,"OCCBLD","Occult Blood","URINALYSIS",NA,"10","/uL",NA,NA,"10",10,"/uL",NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2011-01-09T07:14:04",NA,30,NA,NA,NA,NA,NA,NA
"PDS2014","LB","PDS2014-0001",NA,4,NA,NA,NA,"CLARITY","Clarity","URINALYSIS",NA,"CLEAR",NA,NA,NA,"CLEAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2011-01-09T07:14:04",NA,30,NA,NA,NA,NA,NA,NA
"PDS2014","LB","PDS2014-0001",NA,5,NA,NA,NA,"SPGRAV","Specific Gravity","URINALYSIS",NA,"1.033","RATIO",NA,NA,"1.033",1.033,"RATIO",NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2011-01-09T07:14:04",NA,30,NA,NA,NA,NA,NA,NA
"PDS2014","LB","PDS2014-0001",NA,6,NA,NA,NA,"PH","pH","URINALYSIS",NA,"6.4",NA,NA,NA,"6.4",6.4,NA,NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2011-01-09T07:14:04",NA,30,NA,NA,NA,NA,NA,NA
"PDS2014","LB","PDS2014-0001",NA,7,NA,NA,NA,"CYTYRO","Tyrosine Crystals","URINALYSIS",NA,"0",NA,NA,NA,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2011-01-09T07:14:04",NA,30,NA,NA,NA,NA,NA,NA
"PDS2014","LB","PDS2014-0001",NA,8,NA,NA,NA,"CYCAPHOS","Calcium Phosphate Crystals","URINALYSIS",NA,"0",NA,NA,NA,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2011-01-09T07:14:04",NA,30,NA,NA,NA,NA,NA,NA
"PDS2014","LB","PDS2014-0001",NA,9,NA,NA,NA,"EPISQCE","Squamous Epithelial Cells","URINALYSIS",NA,"2",NA,NA,NA,"2",2,NA,NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2011-01-09T07:14:04",NA,30,NA,NA,NA,NA,NA,NA
"PDS2014","LB","PDS2014-0001",NA,10,NA,NA,NA,"BACT","Bacteria","URINALYSIS",NA,"2",NA,NA,NA,"2",2,NA,NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2011-01-09T07:14:04",NA,30,NA,NA,NA,NA,NA,NA
