"STUDYID","DOMAIN","USUBJID","MISEQ","MIGRPID","MIREFID","MISPID","MITESTCD","MITEST","MIBODSYS","MIORRES","MISTRESC","MIRESCAT","MISTAT","MIREASND","MINAM","MISPEC","MIANTREG","MISPCCND","MISPCUFL","MIMETHOD","MILAT","MIDIR","MIEVAL","MISEV","MIDTHREL","MIDTC","MIDY"
"PDS2014","MI","PDS2014-0001",1,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"GLAND, ADRENAL",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",2,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"ARTERY, AORTA",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",3,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"Fat vacuoles, diffuse, grade 1","Fat vacuoles","NON-NEOPLASTIC",NA,NA,NA,"BONE MARROW, FEMUR",NA,NA,NA,NA,NA,NA,"PATHOLOGIST","MILD",NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",4,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"BONE MARROW, STERNUM",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",5,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"BONE, STERNUM",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",6,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"JOINT, STIFLE",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",7,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"BRAIN",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",8,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"GLAND, COAGULATING",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",9,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"EPIDIDYMIS",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",10,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"ESOPHAGUS",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
