"STUDYID","DOMAIN","USUBJID","OMSEQ","OMTESTCD","OMTEST","OMORRES","OMORRESU","OMSTRESC","OMSTRESN","OMSTRESU","OMSTAT","OMREASND","OMSPEC","OMANTREG","OMSPCCND","OMSPCUFL","OMLAT","OMDIR","OMPORTOT","OMEXCLFL","OMREASEX","OMDTC","OMDY"
"PDS2014","OM","PDS2014-0001",1,"WEIGHT","Weight","2.0789","g","2.0789",2.0789,"g",NA,NA,"BRAIN",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-09T09:55:54",30
"PDS2014","OM","PDS2014-0001",2,"WEIGHT","Weight","1.3104","g","1.3104",1.3104,"g",NA,NA,"HEART",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-09T09:56:21",30
"PDS2014","OM","PDS2014-0001",3,"WEIGHT","Weight","8.7775","g","8.7775",8.7775,"g",NA,NA,"LIVER",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-09T09:47:15",30
"PDS2014","OM","PDS2014-0001",4,"WEIGHT","Weight","3.2055","g","3.2055",3.2055,"g",NA,NA,"KIDNEY",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-09T09:55:18",30
"PDS2014","OM","PDS2014-0001",5,"WEIGHT","Weight","4.069","g","4.069",4.069,"g",NA,NA,"TESTIS",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-09T09:55:30",30
"PDS2014","OM","PDS2014-0001",6,"WEIGHT","Weight","0.0148","g","0.0148",0.0148,"g",NA,NA,"GLAND, PITUITARY",NA,"FIXED",NA,NA,NA,NA,NA,NA,"2011-01-09T00:00:00",30
"PDS2014","OM","PDS2014-0001",7,"WEIGHT","Weight","0.0269","g","0.0269",0.0269,"g",NA,NA,"GLAND, THYROID",NA,"FIXED",NA,NA,NA,NA,NA,NA,"2011-01-09T00:00:00",30
"PDS2014","OM","PDS2014-0001",8,"WEIGHT","Weight","0.0875","g","0.0875",0.0875,"g",NA,NA,"GLAND, ADRENAL",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-09T09:54:55",30
"PDS2014","OM","PDS2014-0001",9,"WEIGHT","Weight","0.5583","g","0.5583",0.5583,"g",NA,NA,"SPLEEN",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-09T09:45:51",30
"PDS2014","OM","PDS2014-0001",10,"WEIGHT","Weight","0.3826","g","0.3826",0.3826,"g",NA,NA,"THYMUS",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-09T09:56:12",30
"PDS2014","OM","PDS2014-0002",11,"WEIGHT","Weight","2.1089","g","2.1089",2.1089,"g",NA,NA,"BRAIN",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-09T11:32:58",30
"PDS2014","OM","PDS2014-0002",12,"WEIGHT","Weight","1.4671","g","1.4671",1.4671,"g",NA,NA,"HEART",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-09T11:34:01",30
"PDS2014","OM","PDS2014-0002",13,"WEIGHT","Weight","9.8338","g","9.8338",9.8338,"g",NA,NA,"LIVER",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-09T11:29:13",30
"PDS2014","OM","PDS2014-0002",14,"WEIGHT","Weight","2.8","g","2.8",2.8,"g",NA,NA,"KIDNEY",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-09T11:31:28",30
"PDS2014","OM","PDS2014-0002",15,"WEIGHT","Weight","3.6367","g","3.6367",3.6367,"g",NA,NA,"TESTIS",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-09T11:31:44",30
"PDS2014","OM","PDS2014-0002",16,"WEIGHT","Weight","0.0135","g","0.0135",0.0135,"g",NA,NA,"GLAND, PITUITARY",NA,"FIXED",NA,NA,NA,NA,NA,NA,"2011-01-09T00:00:00",30
"PDS2014","OM","PDS2014-0002",17,"WEIGHT","Weight","0.0175","g","0.0175",0.0175,"g",NA,NA,"GLAND, THYROID",NA,"FIXED",NA,NA,NA,NA,NA,NA,"2011-01-09T00:00:00",30
"PDS2014","OM","PDS2014-0002",18,"WEIGHT","Weight","0.0766","g","0.0766",0.0766,"g",NA,NA,"GLAND, ADRENAL",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-09T11:31:06",30
"PDS2014","OM","PDS2014-0002",19,"WEIGHT","Weight","0.699","g","0.699",0.699,"g",NA,NA,"SPLEEN",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-09T11:28:16",30
"PDS2014","OM","PDS2014-0002",20,"WEIGHT","Weight","0.5844","g","0.5844",0.5844,"g",NA,NA,"THYMUS",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-09T11:33:51",30
"PDS2014","OM","PDS2014-0003",21,"WEIGHT","Weight","2.2374","g","2.2374",2.2374,"g",NA,NA,"BRAIN",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-09T14:11:43",30
"PDS2014","OM","PDS2014-0003",22,"WEIGHT","Weight","1.6419","g","1.6419",1.6419,"g",NA,NA,"HEART",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-09T14:13:04",30
