"STUDYID","DOMAIN","USUBJID","POOLID","PCSEQ","PCGRPID","PCREFID","PCSPID","PCTESTCD","PCTEST","PCCAT","PCSCAT","PCORRES","PCORRESU","PCSTRESC","PCSTRESN","PCSTRESU","PCSTAT","PCREASND","PCNAM","PCSPEC","PCSPCCND","PCMETHOD","PCBLFL","PCFAST","PCDRVFL","PCLLOQ","PCEXCLFL","PCREASEX","VISITDY","PCDTC","PCENDTC","PCDY","PCENDY","PCTPT","PCTPTNUM","PCELTM","PCTPTREF","PCRFTDTC","PCEVLINT"
"PDS2014","PC","PDS2014-0031",NA,1,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"998","ng/mL","998",998,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"0.5H",0.5,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0031",NA,2,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1430","ng/mL","1430",1430,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"1H",1,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0031",NA,3,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1670","ng/mL","1670",1670,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"2H",2,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0031",NA,4,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1360","ng/mL","1360",1360,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"4H",4,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0031",NA,5,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"669","ng/mL","669",669,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"7H",7,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0031",NA,6,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"BQL","ng/mL","BQL",NA,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,2,"2010-12-12T12:00:00",NA,2,NA,"24H",24,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0031",NA,7,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"BQL","ng/mL","BQL",NA,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"0H",0,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0031",NA,8,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"889","ng/mL","889",889,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"0.5H",0.5,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0031",NA,9,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1100","ng/mL","1100",1100,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"1H",1,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0031",NA,10,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1410","ng/mL","1410",1410,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"2H",2,NA,NA,NA,NA
