"STUDYID","DOMAIN","USUBJID","SESEQ","ETCD","ELEMENT","SESTDTC","SEENDTC","SEUPDES"
"PDS2014","SE","PDS2014-0001",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0001",2,"02","M - Vehicle - TRM","2010-12-11T00:00:00","2011-01-09T07:40:47",NA
"PDS2014","SE","PDS2014-0002",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0002",2,"02","M - Vehicle - TRM","2010-12-11T00:00:00","2011-01-09T07:41:50",NA
"PDS2014","SE","PDS2014-0003",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0003",2,"02","M - Vehicle - TRM","2010-12-11T00:00:00","2011-01-09T07:43:29",NA
"PDS2014","SE","PDS2014-0004",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0004",2,"02","M - Vehicle - TRM","2010-12-11T00:00:00","2011-01-09T07:44:40",NA
"PDS2014","SE","PDS2014-0005",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0005",2,"02","M - Vehicle - TRM","2010-12-11T00:00:00","2011-01-09T07:45:54",NA
"PDS2014","SE","PDS2014-0006",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0006",2,"02","M - Vehicle - TRM","2010-12-11T00:00:00","2011-01-10T08:10:53",NA
"PDS2014","SE","PDS2014-0007",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0007",2,"02","M - Vehicle - TRM","2010-12-11T00:00:00","2011-01-10T08:11:58",NA
"PDS2014","SE","PDS2014-0008",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0008",2,"02","M - Vehicle - TRM","2010-12-11T00:00:00","2011-01-10T08:12:55",NA
"PDS2014","SE","PDS2014-0009",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0009",2,"02","M - Vehicle - TRM","2010-12-11T00:00:00","2011-01-10T08:13:41",NA
"PDS2014","SE","PDS2014-0010",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0010",2,"02","M - Vehicle - TRM","2010-12-11T00:00:00","2011-01-10T08:14:51",NA
"PDS2014","SE","PDS2014-0011",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0011",2,"02","M - Vehicle - TRM","2010-12-11T00:00:00","2011-01-10T00:00:00",NA
"PDS2014","SE","PDS2014-0011",3,"03","Recovery Period","2011-01-10T00:00:00","2011-02-06T07:44:04",NA
"PDS2014","SE","PDS2014-0012",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0012",2,"02","M - Vehicle - TRM","2010-12-11T00:00:00","2011-01-10T00:00:00",NA
"PDS2014","SE","PDS2014-0012",3,"03","Recovery Period","2011-01-10T00:00:00","2011-02-06T07:45:30",NA
"PDS2014","SE","PDS2014-0013",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0013",2,"02","M - Vehicle - TRM","2010-12-11T00:00:00","2011-01-10T00:00:00",NA
"PDS2014","SE","PDS2014-0013",3,"03","Recovery Period","2011-01-10T00:00:00","2011-02-06T07:46:36",NA
"PDS2014","SE","PDS2014-0014",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0014",2,"02","M - Vehicle - TRM","2010-12-11T00:00:00","2011-01-10T00:00:00",NA
"PDS2014","SE","PDS2014-0014",3,"03","Recovery Period","2011-01-10T00:00:00","2011-02-06T07:48:49",NA
"PDS2014","SE","PDS2014-0015",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0015",2,"02","M - Vehicle - TRM","2010-12-11T00:00:00","2011-01-10T00:00:00",NA
"PDS2014","SE","PDS2014-0015",3,"03","Recovery Period","2011-01-10T00:00:00","2011-02-06T07:49:40",NA
"PDS2014","SE","PDS2014-0016",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0016",2,"02","M - Vehicle - TRM","2010-12-11T00:00:00","2011-01-09T13:47:03",NA
"PDS2014","SE","PDS2014-0017",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0017",2,"02","M - Vehicle - TRM","2010-12-11T00:00:00","2011-01-09T13:47:32",NA
"PDS2014","SE","PDS2014-0018",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0018",2,"02","M - Vehicle - TRM","2010-12-11T00:00:00","2011-01-09T13:48:14",NA
"PDS2014","SE","PDS2014-0021",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0021",2,"04","M - Low - TRM","2010-12-11T00:00:00","2011-01-09T08:07:45",NA
"PDS2014","SE","PDS2014-0022",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0022",2,"04","M - Low - TRM","2010-12-11T00:00:00","2011-01-09T08:08:52",NA
"PDS2014","SE","PDS2014-0023",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0023",2,"04","M - Low - TRM","2010-12-11T00:00:00","2011-01-09T08:11:37",NA
"PDS2014","SE","PDS2014-0024",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0024",2,"04","M - Low - TRM","2010-12-11T00:00:00","2011-01-09T08:12:35",NA
"PDS2014","SE","PDS2014-0025",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0025",2,"04","M - Low - TRM","2010-12-11T00:00:00","2011-01-09T08:13:29",NA
"PDS2014","SE","PDS2014-0026",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0026",2,"04","M - Low - TRM","2010-12-11T00:00:00","2011-01-10T08:22:14",NA
"PDS2014","SE","PDS2014-0027",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0027",2,"04","M - Low - TRM","2010-12-11T00:00:00","2011-01-10T08:23:10",NA
"PDS2014","SE","PDS2014-0028",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0028",2,"04","M - Low - TRM","2010-12-11T00:00:00","2011-01-10T08:23:54",NA
"PDS2014","SE","PDS2014-0029",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0029",2,"04","M - Low - TRM","2010-12-11T00:00:00","2011-01-10T08:24:55",NA
"PDS2014","SE","PDS2014-0030",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0030",2,"04","M - Low - TRM","2010-12-11T00:00:00","2011-01-10T08:25:38",NA
"PDS2014","SE","PDS2014-0031",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0031",2,"04","M - Low - TRM","2010-12-11T00:00:00","2011-01-09T13:51:48",NA
"PDS2014","SE","PDS2014-0032",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0032",2,"04","M - Low - TRM","2010-12-11T00:00:00","2011-01-09T13:52:13",NA
"PDS2014","SE","PDS2014-0033",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0033",2,"04","M - Low - TRM","2010-12-11T00:00:00","2011-01-09T13:51:15",NA
"PDS2014","SE","PDS2014-0041",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0041",2,"05","M - Medium - TRM","2010-12-11T00:00:00","2011-01-09T08:21:38",NA
"PDS2014","SE","PDS2014-0042",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0042",2,"05","M - Medium - TRM","2010-12-11T00:00:00","2011-01-09T08:22:44",NA
"PDS2014","SE","PDS2014-0043",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0043",2,"05","M - Medium - TRM","2010-12-11T00:00:00","2011-01-09T08:23:46",NA
"PDS2014","SE","PDS2014-0044",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0044",2,"05","M - Medium - TRM","2010-12-11T00:00:00","2011-01-09T08:25:45",NA
"PDS2014","SE","PDS2014-0045",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0045",2,"05","M - Medium - TRM","2010-12-11T00:00:00","2011-01-09T08:26:49",NA
"PDS2014","SE","PDS2014-0046",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0046",2,"05","M - Medium - TRM","2010-12-11T00:00:00","2011-01-10T08:33:05",NA
