"STUDYID","DOMAIN","TSSEQ","TSGRPID","TSPARMCD","TSPARM","TSVAL"
"PDS2014","TS",1,NA,"AGETXT","Age Text","56-56 Days"
"PDS2014","TS",1,NA,"AGEU","Age Unit","DAYS"
"PDS2014","TS",1,NA,"DOSDUR","Dosing Duration","P30D"
"PDS2014","TS",1,NA,"EXPENDTC","Experimental End Date","2011-07-25T00:00:00"
"PDS2014","TS",1,NA,"EXPSTDTC","Experimental Start Date","2010-12-11T00:00:00"
"PDS2014","TS",1,NA,"GLPTYP","Good Laboratory Practice Type","FDA"
"PDS2014","TS",2,NA,"GLPTYP","Good Laboratory Practice Type","OECD"
"PDS2014","TS",1,NA,"RECSAC","Recovery Period","P27D"
"PDS2014","TS",1,NA,"ROUTE","Route of Administration","ORAL GAVAGE"
"PDS2014","TS",1,NA,"SDESIGN","Study Design","PARALLEL"
"PDS2014","TS",1,NA,"SNDCTVER","SEND Controlled Terminology Version","SEND Terminology 2013-012-20"
"PDS2014","TS",1,NA,"SNDIGVER","SEND Implementation Guide Version","SEND Implementation Guide Version 3.0"
"PDS2014","TS",1,NA,"SPECIES","Species","RAT"
"PDS2014","TS",1,NA,"SPLRNAM","Test Subject Supplier","Charles River"
"PDS2014","TS",1,NA,"SPREFID","Sponsor's Reference ID","PDS2014"
"PDS2014","TS",1,NA,"SSPONSOR","Sponsoring Organization","PDS Inc, a divison of PDS Ltd Mount Arlington, New Jersey"
"PDS2014","TS",1,NA,"SSTYP","Study Type","REPEAT DOSE TOXICITY"
"PDS2014","TS",1,NA,"STCAT","Study Category","TOX"
"PDS2014","TS",1,NA,"STDIR","Study Director","John Doe"
"PDS2014","TS",1,NA,"STITLE","Study Title","1-month repeated dose oral toxicity study in the rat with a 1-month recovery period"
"PDS2014","TS",1,NA,"STRAIN","Strain/Substrain","SPRAGUE-DAWLEY"
"PDS2014","TS",1,NA,"STSTDTC","Study Start Date","2010-12-04T00:00:00"
"PDS2014","TS",1,NA,"TFCNTRY","Test Facility Country","USA"
"PDS2014","TS",1,NA,"TSTFLOC","Test Facility Location","1 Way Street, New York, New York"
"PDS2014","TS",1,NA,"TSTFNAM","Test Facility Name","Imaginary Tox Lab"
"PDS2014","TS",1,NA,"TRMSAC","Time to Terminal Sacrifice","P30D"
"PDS2014","TS",2,NA,"TRMSAC","Time to Terminal Sacrifice","P57D"
"PDS2014","TS",1,NA,"TRTCAS","Primary Treatment CAS Registry Number","NOT AVAILABLE"
"PDS2014","TS",1,NA,"TRT","Investigational Therapy or Treatment","PDS-FAKEDRUG-111"
"PDS2014","TS",1,NA,"TRTV","Treatment Vehicle","methocell"
