"STUDYID","DOMAIN","SETCD","SET","TXSEQ","TXPARMCD","TXPARM","TXVAL"
"PDS2014","TX","01","Male, Vehicle, 0 mg/kg , NON-TK",1,"ARMCD","Arm Code","01"
"PDS2014","TX","01","Male, Vehicle, 0 mg/kg , NON-TK",2,"GRPLBL","Group Label","M-Vehicle"
"PDS2014","TX","01","Male, Vehicle, 0 mg/kg , NON-TK",3,"PLANFSUB","Planned Number of Female Subjects","0"
"PDS2014","TX","01","Male, Vehicle, 0 mg/kg , NON-TK",4,"PLANMSUB","Planned Number of Male Subjects","10"
"PDS2014","TX","01","Male, Vehicle, 0 mg/kg , NON-TK",5,"SEXPOP","Sex of Participants","M"
"PDS2014","TX","01","Male, Vehicle, 0 mg/kg , NON-TK",6,"SPECIES","Species","Rat"
"PDS2014","TX","01","Male, Vehicle, 0 mg/kg , NON-TK",7,"SPGRPCD","Sponsor-Defined Group Code","M-V"
"PDS2014","TX","01","Male, Vehicle, 0 mg/kg , NON-TK",8,"SPLRLOC","Test Subject Supplier Site","MAIN RATVILLE"
"PDS2014","TX","01","Male, Vehicle, 0 mg/kg , NON-TK",9,"SPLRNAM","Test Subject Supplier","Charles River"
"PDS2014","TX","01","Male, Vehicle, 0 mg/kg , NON-TK",10,"STRAIN","Strain/Substrain","Sprague Dawley"
"PDS2014","TX","01","Male, Vehicle, 0 mg/kg , NON-TK",11,"TCNTRL","Control Type","Vehicle Control"
"PDS2014","TX","01","Male, Vehicle, 0 mg/kg , NON-TK",12,"TKDESC","Toxicokinetic Description","NON-TK"
"PDS2014","TX","01","Male, Vehicle, 0 mg/kg , NON-TK",13,"TRTDOS","Dose Level","0.0"
"PDS2014","TX","01","Male, Vehicle, 0 mg/kg , NON-TK",14,"TRTDOSU","Dose Units","mg/kg"
"PDS2014","TX","03","Male, Vehicle, 0 mg/kg , TK",15,"ARMCD","Arm Code","01"
"PDS2014","TX","03","Male, Vehicle, 0 mg/kg , TK",16,"GRPLBL","Group Label","M-Vehicle"
"PDS2014","TX","03","Male, Vehicle, 0 mg/kg , TK",17,"PLANFSUB","Planned Number of Female Subjects","0"
"PDS2014","TX","03","Male, Vehicle, 0 mg/kg , TK",18,"PLANMSUB","Planned Number of Male Subjects","3"
"PDS2014","TX","03","Male, Vehicle, 0 mg/kg , TK",19,"SEXPOP","Sex of Participants","M"
"PDS2014","TX","03","Male, Vehicle, 0 mg/kg , TK",20,"SPECIES","Species","Rat"
"PDS2014","TX","03","Male, Vehicle, 0 mg/kg , TK",21,"SPGRPCD","Sponsor-Defined Group Code","M-V"
"PDS2014","TX","03","Male, Vehicle, 0 mg/kg , TK",22,"SPLRLOC","Test Subject Supplier Site","MAIN RATVILLE"
"PDS2014","TX","03","Male, Vehicle, 0 mg/kg , TK",23,"SPLRNAM","Test Subject Supplier","Charles River"
"PDS2014","TX","03","Male, Vehicle, 0 mg/kg , TK",24,"STRAIN","Strain/Substrain","Sprague Dawley"
"PDS2014","TX","03","Male, Vehicle, 0 mg/kg , TK",25,"TCNTRL","Control Type","Vehicle Control"
"PDS2014","TX","03","Male, Vehicle, 0 mg/kg , TK",26,"TKDESC","Toxicokinetic Description","TK"
"PDS2014","TX","03","Male, Vehicle, 0 mg/kg , TK",27,"TRTDOS","Dose Level","0.0"
"PDS2014","TX","03","Male, Vehicle, 0 mg/kg , TK",28,"TRTDOSU","Dose Units","mg/kg"
"PDS2014","TX","02","Male, Vehicle, 0 mg/kg , NON-TK",29,"ARMCD","Arm Code","02"
"PDS2014","TX","02","Male, Vehicle, 0 mg/kg , NON-TK",30,"GRPLBL","Group Label","M-Vehicle"
"PDS2014","TX","02","Male, Vehicle, 0 mg/kg , NON-TK",31,"PLANFSUB","Planned Number of Female Subjects","0"
"PDS2014","TX","02","Male, Vehicle, 0 mg/kg , NON-TK",32,"PLANMSUB","Planned Number of Male Subjects","5"
"PDS2014","TX","02","Male, Vehicle, 0 mg/kg , NON-TK",33,"SEXPOP","Sex of Participants","M"
"PDS2014","TX","02","Male, Vehicle, 0 mg/kg , NON-TK",34,"SPECIES","Species","Rat"
"PDS2014","TX","02","Male, Vehicle, 0 mg/kg , NON-TK",35,"SPGRPCD","Sponsor-Defined Group Code","M-V"
"PDS2014","TX","02","Male, Vehicle, 0 mg/kg , NON-TK",36,"SPLRLOC","Test Subject Supplier Site","MAIN RATVILLE"
"PDS2014","TX","02","Male, Vehicle, 0 mg/kg , NON-TK",37,"SPLRNAM","Test Subject Supplier","Charles River"
"PDS2014","TX","02","Male, Vehicle, 0 mg/kg , NON-TK",38,"STRAIN","Strain/Substrain","Sprague Dawley"
"PDS2014","TX","02","Male, Vehicle, 0 mg/kg , NON-TK",39,"TCNTRL","Control Type","Vehicle Control"
"PDS2014","TX","02","Male, Vehicle, 0 mg/kg , NON-TK",40,"TKDESC","Toxicokinetic Description","NON-TK"
"PDS2014","TX","02","Male, Vehicle, 0 mg/kg , NON-TK",41,"TRTDOS","Dose Level","0.0"
"PDS2014","TX","02","Male, Vehicle, 0 mg/kg , NON-TK",42,"TRTDOSU","Dose Units","mg/kg"
"PDS2014","TX","04","Male, Low, 20 mg/kg , NON-TK",43,"ARMCD","Arm Code","03"
"PDS2014","TX","04","Male, Low, 20 mg/kg , NON-TK",44,"GRPLBL","Group Label","M-Low"
"PDS2014","TX","04","Male, Low, 20 mg/kg , NON-TK",45,"PLANFSUB","Planned Number of Female Subjects","0"
"PDS2014","TX","04","Male, Low, 20 mg/kg , NON-TK",46,"PLANMSUB","Planned Number of Male Subjects","10"
"PDS2014","TX","04","Male, Low, 20 mg/kg , NON-TK",47,"SEXPOP","Sex of Participants","M"
"PDS2014","TX","04","Male, Low, 20 mg/kg , NON-TK",48,"SPECIES","Species","Rat"
"PDS2014","TX","04","Male, Low, 20 mg/kg , NON-TK",49,"SPGRPCD","Sponsor-Defined Group Code","M-L"
"PDS2014","TX","04","Male, Low, 20 mg/kg , NON-TK",50,"SPLRLOC","Test Subject Supplier Site","MAIN RATVILLE"
"PDS2014","TX","04","Male, Low, 20 mg/kg , NON-TK",51,"SPLRNAM","Test Subject Supplier","Charles River"
"PDS2014","TX","04","Male, Low, 20 mg/kg , NON-TK",52,"STRAIN","Strain/Substrain","Sprague Dawley"
"PDS2014","TX","04","Male, Low, 20 mg/kg , NON-TK",53,"TKDESC","Toxicokinetic Description","NON-TK"
"PDS2014","TX","04","Male, Low, 20 mg/kg , NON-TK",54,"TRTDOS","Dose Level","20.0"
"PDS2014","TX","04","Male, Low, 20 mg/kg , NON-TK",55,"TRTDOSU","Dose Units","mg/kg"
"PDS2014","TX","05","Male, Low, 20 mg/kg , TK",56,"ARMCD","Arm Code","03"
"PDS2014","TX","05","Male, Low, 20 mg/kg , TK",57,"GRPLBL","Group Label","M-Low"
"PDS2014","TX","05","Male, Low, 20 mg/kg , TK",58,"PLANFSUB","Planned Number of Female Subjects","0"
"PDS2014","TX","05","Male, Low, 20 mg/kg , TK",59,"PLANMSUB","Planned Number of Male Subjects","3"
"PDS2014","TX","05","Male, Low, 20 mg/kg , TK",60,"SEXPOP","Sex of Participants","M"
"PDS2014","TX","05","Male, Low, 20 mg/kg , TK",61,"SPECIES","Species","Rat"
"PDS2014","TX","05","Male, Low, 20 mg/kg , TK",62,"SPGRPCD","Sponsor-Defined Group Code","M-L"
"PDS2014","TX","05","Male, Low, 20 mg/kg , TK",63,"SPLRLOC","Test Subject Supplier Site","MAIN RATVILLE"
"PDS2014","TX","05","Male, Low, 20 mg/kg , TK",64,"SPLRNAM","Test Subject Supplier","Charles River"
"PDS2014","TX","05","Male, Low, 20 mg/kg , TK",65,"STRAIN","Strain/Substrain","Sprague Dawley"
"PDS2014","TX","05","Male, Low, 20 mg/kg , TK",66,"TKDESC","Toxicokinetic Description","TK"
"PDS2014","TX","05","Male, Low, 20 mg/kg , TK",67,"TRTDOS","Dose Level","20.0"
"PDS2014","TX","05","Male, Low, 20 mg/kg , TK",68,"TRTDOSU","Dose Units","mg/kg"
"PDS2014","TX","06","Male, Medium, 200 mg/kg , NON-TK",69,"ARMCD","Arm Code","04"
"PDS2014","TX","06","Male, Medium, 200 mg/kg , NON-TK",70,"GRPLBL","Group Label","M-Medium"
"PDS2014","TX","06","Male, Medium, 200 mg/kg , NON-TK",71,"PLANFSUB","Planned Number of Female Subjects","0"
"PDS2014","TX","06","Male, Medium, 200 mg/kg , NON-TK",72,"PLANMSUB","Planned Number of Male Subjects","10"
"PDS2014","TX","06","Male, Medium, 200 mg/kg , NON-TK",73,"SEXPOP","Sex of Participants","M"
"PDS2014","TX","06","Male, Medium, 200 mg/kg , NON-TK",74,"SPECIES","Species","Rat"
"PDS2014","TX","06","Male, Medium, 200 mg/kg , NON-TK",75,"SPGRPCD","Sponsor-Defined Group Code","M-M"
"PDS2014","TX","06","Male, Medium, 200 mg/kg , NON-TK",76,"SPLRLOC","Test Subject Supplier Site","MAIN RATVILLE"
"PDS2014","TX","06","Male, Medium, 200 mg/kg , NON-TK",77,"SPLRNAM","Test Subject Supplier","Charles River"
"PDS2014","TX","06","Male, Medium, 200 mg/kg , NON-TK",78,"STRAIN","Strain/Substrain","Sprague Dawley"
"PDS2014","TX","06","Male, Medium, 200 mg/kg , NON-TK",79,"TKDESC","Toxicokinetic Description","NON-TK"
"PDS2014","TX","06","Male, Medium, 200 mg/kg , NON-TK",80,"TRTDOS","Dose Level","200.0"
"PDS2014","TX","06","Male, Medium, 200 mg/kg , NON-TK",81,"TRTDOSU","Dose Units","mg/kg"
"PDS2014","TX","07","Male, Medium, 200 mg/kg , TK",82,"ARMCD","Arm Code","04"
"PDS2014","TX","07","Male, Medium, 200 mg/kg , TK",83,"GRPLBL","Group Label","M-Medium"
"PDS2014","TX","07","Male, Medium, 200 mg/kg , TK",84,"PLANFSUB","Planned Number of Female Subjects","0"
"PDS2014","TX","07","Male, Medium, 200 mg/kg , TK",85,"PLANMSUB","Planned Number of Male Subjects","3"
"PDS2014","TX","07","Male, Medium, 200 mg/kg , TK",86,"SEXPOP","Sex of Participants","M"
