"STUDYID","DOMAIN","USUBJID","BGSEQ","BGTESTCD","BGTEST","BGORRES","BGORRESU","BGSTRESC","BGSTRESN","BGSTRESU","BGSTAT","BGREASND","BGEXCLFL","BGREASEX","BGDTC","BGENDTC","BGDY","BGENDY","BGELTM","BGTPTREF","BGRFTDTC"
"GLP003","BG","107001493",1,"BWGAIN","Body Weight Gain","25.0","g","25.0",25,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001427",2,"BWGAIN","Body Weight Gain","22.0","g","22.0",22,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001458",3,"BWGAIN","Body Weight Gain","26.0","g","26.0",26,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001389",4,"BWGAIN","Body Weight Gain","28.0","g","28.0",28,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001377",5,"BWGAIN","Body Weight Gain","35.0","g","35.0",35,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001472",6,"BWGAIN","Body Weight Gain","20.0","g","20.0",20,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001401",7,"BWGAIN","Body Weight Gain","31.0","g","31.0",31,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001466",8,"BWGAIN","Body Weight Gain","30.0","g","30.0",30,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001428",9,"BWGAIN","Body Weight Gain","33.0","g","33.0",33,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001483",10,"BWGAIN","Body Weight Gain","23.0","g","23.0",23,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001397",11,"BWGAIN","Body Weight Gain","23.0","g","23.0",23,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001467",12,"BWGAIN","Body Weight Gain","27.0","g","27.0",27,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001387",13,"BWGAIN","Body Weight Gain","24.0","g","24.0",24,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001384",14,"BWGAIN","Body Weight Gain","25.0","g","25.0",25,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001423",15,"BWGAIN","Body Weight Gain","23.0","g","23.0",23,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001529",16,"BWGAIN","Body Weight Gain","10.0","g","10.0",10,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001528",17,"BWGAIN","Body Weight Gain","14.0","g","14.0",14,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001576",18,"BWGAIN","Body Weight Gain","15.0","g","15.0",15,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001616",19,"BWGAIN","Body Weight Gain","12.0","g","12.0",12,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001500",20,"BWGAIN","Body Weight Gain","15.0","g","15.0",15,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001535",21,"BWGAIN","Body Weight Gain","11.0","g","11.0",11,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001647",22,"BWGAIN","Body Weight Gain","16.0","g","16.0",16,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001592",23,"BWGAIN","Body Weight Gain","16.0","g","16.0",16,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001569",24,"BWGAIN","Body Weight Gain","17.0","g","17.0",17,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001537",25,"BWGAIN","Body Weight Gain","17.0","g","17.0",17,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
