"STUDYID","DOMAIN","USUBJID","BWSEQ","BWTESTCD","BWTEST","BWORRES","BWORRESU","BWSTRESC","BWSTRESN","BWSTRESU","BWSTAT","BWREASND","BWBLFL","BWFAST","BWEXCLFL","BWREASEX","VISITDY","BWDTC","BWDY"
"GLP003","BW","107001493",1,"TERMBW","Terminal Body Weight","378.0","g","378.0",378,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:32:14",29
"GLP003","BW","107001427",2,"TERMBW","Terminal Body Weight","393.9","g","393.9",393.9,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:32:21",29
"GLP003","BW","107001458",3,"TERMBW","Terminal Body Weight","398.2","g","398.2",398.2,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:32:28",29
"GLP003","BW","107001389",4,"TERMBW","Terminal Body Weight","390.0","g","390.0",390,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:32:39",29
"GLP003","BW","107001377",5,"TERMBW","Terminal Body Weight","403.8","g","403.8",403.8,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:32:54",29
"GLP003","BW","107001472",6,"TERMBW","Terminal Body Weight","336.5","g","336.5",336.5,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:38:28",30
"GLP003","BW","107001401",7,"TERMBW","Terminal Body Weight","416.2","g","416.2",416.2,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:38:38",30
"GLP003","BW","107001466",8,"TERMBW","Terminal Body Weight","425.3","g","425.3",425.3,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:39:18",30
"GLP003","BW","107001428",9,"TERMBW","Terminal Body Weight","440.0","g","440.0",440,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:39:36",30
"GLP003","BW","107001483",10,"TERMBW","Terminal Body Weight","354.3","g","354.3",354.3,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:39:55",30
"GLP003","BW","107001397",11,"TERMBW","Terminal Body Weight","402.4","g","402.4",402.4,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-24T09:54:54",43
"GLP003","BW","107001467",12,"TERMBW","Terminal Body Weight","446.6","g","446.6",446.6,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-24T09:55:08",43
"GLP003","BW","107001387",13,"TERMBW","Terminal Body Weight","399.5","g","399.5",399.5,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-24T09:55:15",43
"GLP003","BW","107001384",14,"TERMBW","Terminal Body Weight","416.3","g","416.3",416.3,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-24T09:55:21",43
"GLP003","BW","107001423",15,"TERMBW","Terminal Body Weight","404.1","g","404.1",404.1,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-24T09:55:34",43
"GLP003","BW","107001529",16,"TERMBW","Terminal Body Weight","104.3","g","104.3",104.3,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-12T10:59:20",29
"GLP003","BW","107001528",17,"TERMBW","Terminal Body Weight","129.1","g","129.1",129.1,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-12T10:59:25",29
"GLP003","BW","107001576",18,"TERMBW","Terminal Body Weight","121.9","g","121.9",121.9,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-12T10:59:30",29
"GLP003","BW","107001616",19,"TERMBW","Terminal Body Weight","229.6","g","229.6",229.6,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-12T10:59:36",29
"GLP003","BW","107001500",20,"TERMBW","Terminal Body Weight","215.3","g","215.3",215.3,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-12T10:59:52",29
"GLP003","BW","107001535",21,"TERMBW","Terminal Body Weight","247.4","g","247.4",247.4,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-13T10:34:17",30
"GLP003","BW","107001647",22,"TERMBW","Terminal Body Weight","242.5","g","242.5",242.5,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-13T10:34:22",30
"GLP003","BW","107001592",23,"TERMBW","Terminal Body Weight","219.0","g","219.0",219,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-13T10:34:28",30
"GLP003","BW","107001569",24,"TERMBW","Terminal Body Weight","242.1","g","242.1",242.1,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-13T10:34:33",30
"GLP003","BW","107001537",25,"TERMBW","Terminal Body Weight","237.3","g","237.3",237.3,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-13T10:34:45",30
"GLP003","BW","107001594",26,"TERMBW","Terminal Body Weight","250.5","g","250.5",250.5,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-26T11:39:11",43
"GLP003","BW","107001619",27,"TERMBW","Terminal Body Weight","238.6","g","238.6",238.6,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-26T11:39:18",43
"GLP003","BW","107001518",28,"TERMBW","Terminal Body Weight","259.0","g","259.0",259,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-26T11:39:25",43
"GLP003","BW","107001538",29,"TERMBW","Terminal Body Weight","256.4","g","256.4",256.4,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-26T11:39:32",43
"GLP003","BW","107001581",30,"TERMBW","Terminal Body Weight","257.0","g","257.0",257,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-26T11:39:38",43
"GLP003","BW","107001469",31,"TERMBW","Terminal Body Weight","367.5","g","367.5",367.5,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:33:05",29
"GLP003","BW","107001425",32,"TERMBW","Terminal Body Weight","350.5","g","350.5",350.5,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:33:11",29
"GLP003","BW","107001440",33,"TERMBW","Terminal Body Weight","423.0","g","423.0",423,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:33:17",29
"GLP003","BW","107001419",34,"TERMBW","Terminal Body Weight","410.9","g","410.9",410.9,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:33:24",29
"GLP003","BW","107001437",35,"TERMBW","Terminal Body Weight","377.5","g","377.5",377.5,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:33:35",29
"GLP003","BW","107001415",36,"TERMBW","Terminal Body Weight","374.7","g","374.7",374.7,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:40:28",30
"GLP003","BW","107001368",37,"TERMBW","Terminal Body Weight",NA,NA,NA,NA,NA,"NOT DONE","Animal aggressive, could not handle",NA,NA,NA,NA,6,"2007-06-17T10:37:16",6
"GLP003","BW","107001455",38,"TERMBW","Terminal Body Weight","440.8","g","440.8",440.8,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:40:39",30
