"STUDYID","DOMAIN","USUBJID","SUBJID","RFSTDTC","RFENDTC","SITEID","BRTHDTC","AGE","AGETXT","AGEU","SEX","SPECIES","STRAIN","SBSTRAIN","ARMCD","ARM","SETCD"
"GLP003","DM","107001493","1101","2007-06-12","2007-07-10T11:32:14",NA,"2007-04-09",64,NA,"DAYS","M",NA,NA,NA,"1","Control Vehicle","1"
"GLP003","DM","107001427","1102","2007-06-12","2007-07-10T11:32:21",NA,"2007-04-09",64,NA,"DAYS","M",NA,NA,NA,"1","Control Vehicle","1"
"GLP003","DM","107001458","1103","2007-06-12","2007-07-10T11:32:28",NA,"2007-04-09",64,NA,"DAYS","M",NA,NA,NA,"1","Control Vehicle","1"
"GLP003","DM","107001389","1104","2007-06-12","2007-07-10T11:32:39",NA,"2007-04-09",64,NA,"DAYS","M",NA,NA,NA,"1","Control Vehicle","1"
"GLP003","DM","107001377","1105","2007-06-12","2007-07-10T11:32:54",NA,"2007-04-09",64,NA,"DAYS","M",NA,NA,NA,"1","Control Vehicle","1"
"GLP003","DM","107001472","1106","2007-06-12","2007-07-11T09:38:28",NA,"2007-04-09",64,NA,"DAYS","M",NA,NA,NA,"1","Control Vehicle","1"
"GLP003","DM","107001401","1107","2007-06-12","2007-07-11T09:38:38",NA,"2007-04-09",64,NA,"DAYS","M",NA,NA,NA,"1","Control Vehicle","1"
"GLP003","DM","107001466","1108","2007-06-12","2007-07-11T09:39:18",NA,"2007-04-09",64,NA,"DAYS","M",NA,NA,NA,"1","Control Vehicle","1"
"GLP003","DM","107001428","1109","2007-06-12","2007-07-11T09:39:36",NA,"2007-04-09",64,NA,"DAYS","M",NA,NA,NA,"1","Control Vehicle","1"
"GLP003","DM","107001483","1110","2007-06-12","2007-07-11T09:39:55",NA,"2007-04-09",64,NA,"DAYS","M",NA,NA,NA,"1","Control Vehicle","1"
"GLP003","DM","107001397","1111","2007-06-12","2007-07-24T09:54:54",NA,"2007-04-09",64,NA,"DAYS","M",NA,NA,NA,"1R","Recovery Control Vehicle","1"
"GLP003","DM","107001467","1112","2007-06-12","2007-07-24T09:55:08",NA,"2007-04-09",64,NA,"DAYS","M",NA,NA,NA,"1R","Recovery Control Vehicle","1"
"GLP003","DM","107001387","1113","2007-06-12","2007-07-24T09:55:15",NA,"2007-04-09",64,NA,"DAYS","M",NA,NA,NA,"1R","Recovery Control Vehicle","1"
