"STUDYID","DOMAIN","USUBJID","DSSEQ","DSTERM","DSDECOD","VISITDY","DSSTDTC","DSSTDY"
"GLP003","DS","107001493",1,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T11:32:14",29
"GLP003","DS","107001427",2,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T11:32:21",29
"GLP003","DS","107001458",3,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T11:32:28",29
"GLP003","DS","107001389",4,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T11:32:39",29
"GLP003","DS","107001377",5,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T11:32:54",29
"GLP003","DS","107001472",6,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-11T09:38:28",30
"GLP003","DS","107001401",7,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-11T09:38:38",30
"GLP003","DS","107001466",8,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-11T09:39:18",30
"GLP003","DS","107001428",9,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-11T09:39:36",30
"GLP003","DS","107001483",10,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-11T09:39:55",30
"GLP003","DS","107001397",11,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-24T09:54:54",43
"GLP003","DS","107001467",12,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-24T09:55:08",43
"GLP003","DS","107001387",13,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-24T09:55:15",43
"GLP003","DS","107001384",14,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-24T09:55:21",43
"GLP003","DS","107001423",15,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-24T09:55:34",43
"GLP003","DS","107001529",16,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T10:59:20",29
"GLP003","DS","107001528",17,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T10:59:25",29
"GLP003","DS","107001576",18,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T10:59:30",29
"GLP003","DS","107001616",19,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T10:59:36",29
"GLP003","DS","107001500",20,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T10:59:52",29
"GLP003","DS","107001535",21,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-13T10:34:17",30
"GLP003","DS","107001647",22,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-13T10:34:22",30
"GLP003","DS","107001592",23,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-13T10:34:28",30
"GLP003","DS","107001569",24,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-13T10:34:33",30
"GLP003","DS","107001537",25,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-13T10:34:45",30
"GLP003","DS","107001594",26,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-26T11:39:11",43
"GLP003","DS","107001619",27,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-26T11:39:18",43
"GLP003","DS","107001518",28,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-26T11:39:25",43
"GLP003","DS","107001538",29,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-26T11:39:32",43
"GLP003","DS","107001581",30,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-26T11:39:38",43
"GLP003","DS","107001469",31,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T11:33:05",29
"GLP003","DS","107001425",32,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T11:33:11",29
"GLP003","DS","107001440",33,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T11:33:17",29
"GLP003","DS","107001419",34,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T11:33:24",29
"GLP003","DS","107001437",35,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T11:33:35",29
"GLP003","DS","107001415",36,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-11T09:40:28",30
"GLP003","DS","107001368",37,"Moribund sacrifice","MORIBUND SACRIFICE",NA,"2007-06-17T10:37:16",6
"GLP003","DS","107001455",38,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-11T09:40:39",30
"GLP003","DS","107001470",39,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-11T09:41:50",30
"GLP003","DS","107001456",40,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-11T09:41:58",30
"GLP003","DS","107001351",41,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-24T09:55:49",43
"GLP003","DS","107001382",42,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-24T09:56:00",43
"GLP003","DS","107001362",43,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-24T09:56:08",43
"GLP003","DS","107001363",44,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-24T09:56:14",43
