"STUDYID","DOMAIN","USUBJID","POOLID","FWSEQ","FWGRPID","FWTESTCD","FWTEST","FWORRES","FWORRESU","FWSTRESC","FWSTRESN","FWSTRESU","FWSTAT","FWREASND","FWEXCLFL","FWREASEX","FWDTC","FWENDTC","FWDY","FWENDY"
"GLP003","FW","107001493",NA,1,NA,"FC","Food Consumption","225.5","g","32.21",32.21,"g/animal/day",NA,NA,NA,NA,"2007-06-12T14:54:55","2007-06-19T08:02:22",1,8
"GLP003","FW","107001493",NA,2,NA,"FC","Food Consumption","224.8","g","32.11",32.11,"g/animal/day",NA,NA,NA,NA,"2007-06-19T08:02:22","2007-06-26T08:03:09",8,15
"GLP003","FW","107001493",NA,3,NA,"FC","Food Consumption","230.9","g","32.99",32.99,"g/animal/day",NA,NA,NA,NA,"2007-06-26T08:03:10","2007-07-03T14:09:03",15,22
"GLP003","FW","107001493",NA,4,NA,"FC","Food Consumption","176.8","g","29.47",29.47,"g/animal/day",NA,NA,NA,NA,"2007-07-03T14:09:03","2007-07-09T06:17:45",22,28
"GLP003","FW","107001493",NA,5,NA,"WC","Water Consumption","6.3","g","6.30",6.3,"g/animal/day",NA,NA,NA,NA,"2007-07-09T08:34:55","2007-07-10T07:58:19",28,29
"GLP003","FW","107001427",NA,6,NA,"FC","Food Consumption","216.8","g","30.97",30.97,"g/animal/day",NA,NA,NA,NA,"2007-06-12T14:55:00","2007-06-19T08:02:56",1,8
"GLP003","FW","107001427",NA,7,NA,"FC","Food Consumption","218.1","g","31.16",31.16,"g/animal/day",NA,NA,NA,NA,"2007-06-19T08:02:56","2007-06-26T08:03:30",8,15
"GLP003","FW","107001427",NA,8,NA,"FC","Food Consumption","217.3","g","31.04",31.04,"g/animal/day",NA,NA,NA,NA,"2007-06-26T08:03:30","2007-07-03T14:10:16",15,22
"GLP003","FW","107001427",NA,9,NA,"FC","Food Consumption","176.6","g","29.43",29.43,"g/animal/day",NA,NA,NA,NA,"2007-07-03T14:10:16","2007-07-09T06:17:51",22,28
"GLP003","FW","107001427",NA,10,NA,"WC","Water Consumption","18.6","g","18.60",18.6,"g/animal/day",NA,NA,NA,NA,"2007-07-09T08:35:10","2007-07-10T07:58:34",28,29
"GLP003","FW","107001458",NA,11,NA,"FC","Food Consumption","187.1","g","26.73",26.73,"g/animal/day",NA,NA,NA,NA,"2007-06-12T14:55:06","2007-06-19T08:03:22",1,8
"GLP003","FW","107001458",NA,12,NA,"FC","Food Consumption","185.6","g","26.51",26.51,"g/animal/day",NA,NA,NA,NA,"2007-06-19T08:03:22","2007-06-26T08:03:48",8,15
"GLP003","FW","107001458",NA,13,NA,"FC","Food Consumption","199.3","g","28.47",28.47,"g/animal/day",NA,NA,NA,NA,"2007-06-26T08:03:48","2007-07-03T14:10:47",15,22
"GLP003","FW","107001458",NA,14,NA,"FC","Food Consumption","173.4","g","28.90",28.9,"g/animal/day",NA,NA,NA,NA,"2007-07-03T14:10:47","2007-07-09T06:18:01",22,28
"GLP003","FW","107001458",NA,15,NA,"WC","Water Consumption","8.5","g","8.50",8.5,"g/animal/day",NA,NA,NA,NA,"2007-07-09T08:35:19","2007-07-10T07:58:47",28,29
"GLP003","FW","107001389",NA,16,NA,"FC","Food Consumption","187.4","g","26.77",26.77,"g/animal/day",NA,NA,NA,NA,"2007-06-12T14:55:13","2007-06-19T08:03:47",1,8
"GLP003","FW","107001389",NA,17,NA,"FC","Food Consumption","205.4","g","29.34",29.34,"g/animal/day",NA,NA,NA,NA,"2007-06-19T08:03:47","2007-06-26T08:04:08",8,15
"GLP003","FW","107001389",NA,18,NA,"FC","Food Consumption","215.6","g","30.80",30.8,"g/animal/day",NA,NA,NA,NA,"2007-06-26T08:04:08","2007-07-03T14:11:19",15,22
"GLP003","FW","107001389",NA,19,NA,"FC","Food Consumption","185.2","g","30.87",30.87,"g/animal/day",NA,NA,NA,NA,"2007-07-03T14:11:19","2007-07-09T06:18:14",22,28
"GLP003","FW","107001389",NA,20,NA,"WC","Water Consumption","22.5","g","22.50",22.5,"g/animal/day",NA,NA,NA,NA,"2007-07-09T08:35:34","2007-07-10T07:59:00",28,29
"GLP003","FW","107001377",NA,21,NA,"FC","Food Consumption","217.4","g","31.06",31.06,"g/animal/day",NA,NA,NA,NA,"2007-06-12T14:55:20","2007-06-19T08:04:10",1,8
"GLP003","FW","107001377",NA,22,NA,"FC","Food Consumption","233.6","g","33.37",33.37,"g/animal/day",NA,NA,NA,NA,"2007-06-19T08:04:11","2007-06-26T08:04:28",8,15
"GLP003","FW","107001377",NA,23,NA,"FC","Food Consumption","254.7","g","36.39",36.39,"g/animal/day",NA,NA,NA,NA,"2007-06-26T08:04:29","2007-07-03T14:11:54",15,22
"GLP003","FW","107001377",NA,24,NA,"FC","Food Consumption","202.3","g","33.72",33.72,"g/animal/day",NA,NA,NA,NA,"2007-07-03T14:11:54","2007-07-09T06:18:27",22,28
"GLP003","FW","107001377",NA,25,NA,"WC","Water Consumption","25.9","g","25.90",25.9,"g/animal/day",NA,NA,NA,NA,"2007-07-09T08:35:44","2007-07-10T07:59:13",28,29
"GLP003","FW","107001472",NA,26,NA,"FC","Food Consumption","159.8","g","22.83",22.83,"g/animal/day",NA,NA,NA,NA,"2007-06-12T14:55:28","2007-06-19T08:04:34",1,8
"GLP003","FW","107001472",NA,27,NA,"FC","Food Consumption","162.7","g","23.24",23.24,"g/animal/day",NA,NA,NA,NA,"2007-06-19T08:04:35","2007-06-26T08:04:50",8,15
