"STUDYID","DOMAIN","USUBJID","POOLID","LBSEQ","LBGRPID","LBREFID","LBSPID","LBTESTCD","LBTEST","LBCAT","LBSCAT","LBORRES","LBORRESU","LBORNRLO","LBORNRHI","LBSTRESC","LBSTRESN","LBSTRESU","LBSTNRLO","LBSTNRHI","LBSTNRC","LBNRIND","LBSTAT","LBREASND","LBNAM","LBSPEC","LBANTREG","LBSPCCND","LBSPCUFL","LBLOC","LBLAT","LBDIR","LBPORTOT","LBMETHOD","LBBLFL","LBFAST","LBDRVFL","LBTOX","LBTOXGR","LBEXCLFL","LBREASEX","VISITDY","LBDTC","LBENDTC","LBDY","LBENDY","LBTPT","LBTPTNUM","LBELTM","LBTPTREF","LBRFTDTC"
"GLP003","LB","107001350",NA,1,NA,NA,NA,"WBC","Leukocytes","HEMATOLOGY",NA,"13.37","10^9/L",NA,NA,"13.37",13.37,"10^9/L",NA,NA,NA,NA,NA,NA,NA,"WHOLE BLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:00:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,2,NA,NA,NA,"RBC","Erythrocytes","HEMATOLOGY",NA,"9.59","10^12/L",NA,NA,"9.59",9.59,"10^12/L",NA,NA,NA,NA,NA,NA,NA,"WHOLE BLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:00:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,3,NA,NA,NA,"HGB","Hemoglobin","HEMATOLOGY",NA,"17.7","g/dL",NA,NA,"17.7",17.7,"g/dL",NA,NA,NA,NA,NA,NA,NA,"WHOLE BLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:00:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,4,NA,NA,NA,"HCT","Hematocrit","HEMATOLOGY",NA,"51.1","%",NA,NA,"51.1",51.1,"%",NA,NA,NA,NA,NA,NA,NA,"WHOLE BLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:00:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,5,NA,NA,NA,"MCV","Ery. Mean Corpuscular Volume","HEMATOLOGY",NA,"53.3","fL",NA,NA,"53.3",53.3,"fL",NA,NA,NA,NA,NA,NA,NA,"WHOLE BLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:00:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,6,NA,NA,NA,"MCH","Ery. Mean Corpuscular Hemoglobin","HEMATOLOGY",NA,"18.5","pg",NA,NA,"18.5",18.5,"pg",NA,NA,NA,NA,NA,NA,NA,"WHOLE BLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:00:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,7,NA,NA,NA,"MCHC","Ery. Mean Corpuscular HGB Concentration","HEMATOLOGY",NA,"34.6","g/dL",NA,NA,"34.6",34.6,"g/dL",NA,NA,NA,NA,NA,NA,NA,"WHOLE BLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:00:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,8,NA,NA,NA,"RDW","Erythrocytes Distribution Width","HEMATOLOGY",NA,"11.9","%",NA,NA,"11.9",11.9,"%",NA,NA,NA,NA,NA,NA,NA,"WHOLE BLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:00:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,9,NA,NA,NA,"PLAT","Platelets","HEMATOLOGY",NA,"1172","10^9/L",NA,NA,"1172",1172,"10^9/L",NA,NA,NA,NA,NA,NA,NA,"WHOLE BLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:00:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,10,NA,NA,NA,"RETIRBC","Reticulocytes/Erythrocytes","HEMATOLOGY",NA,"2.0","%",NA,NA,"2.0",2,"%",NA,NA,NA,NA,NA,NA,NA,"WHOLE BLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:00:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,11,NA,NA,NA,"RETI","Reticulocytes","HEMATOLOGY",NA,"0.195","10^12/L",NA,NA,"0.195",0.195,"10^12/L",NA,NA,NA,NA,NA,NA,NA,"WHOLE BLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:00:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,12,NA,NA,NA,"NEUT","Neutrophils","HEMATOLOGY",NA,"2.44","10^9/L",NA,NA,"2.44",2.44,"10^9/L",NA,NA,NA,NA,NA,NA,NA,"WHOLE BLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:00:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,13,NA,NA,NA,"LYM","Lymphocytes","HEMATOLOGY",NA,"10.28","10^9/L",NA,NA,"10.28",10.28,"10^9/L",NA,NA,NA,NA,NA,NA,NA,"WHOLE BLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:00:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,14,NA,NA,NA,"MONO","Monocytes","HEMATOLOGY",NA,"0.32","10^9/L",NA,NA,"0.32",0.32,"10^9/L",NA,NA,NA,NA,NA,NA,NA,"WHOLE BLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:00:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,15,NA,NA,NA,"EOS","Eosinophils","HEMATOLOGY",NA,"0.12","10^9/L",NA,NA,"0.12",0.12,"10^9/L",NA,NA,NA,NA,NA,NA,NA,"WHOLE BLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:00:00",NA,30,NA,NA,NA,NA,NA,NA
