"STUDYID","DOMAIN","USUBJID","MISEQ","MIGRPID","MIREFID","MISPID","MITESTCD","MITEST","MIBODSYS","MIORRES","MISTRESC","MIRESCAT","MISTAT","MIREASND","MINAM","MISPEC","MIANTREG","MISPCCND","MISPCUFL","MIMETHOD","MILAT","MIDIR","MIEVAL","MISEV","MIDTHREL","MIDTC","MIDY"
"GLP003","MI","107001493",1,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"ADIPOSE TISSUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",2,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"ADRENAL GLANDS:Hyperplasia: cortical cell, focal, unilateral, grade 1","Hyperplasia",NA,NA,NA,NA,"GLAND, ADRENAL",NA,NA,NA,NA,"BILATERAL",NA,NA,"MINIMAL",NA,"2007-07-10",29
"GLP003","MI","107001493",3,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"ARTERY, AORTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",4,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"BONE MARROW, FEMUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",5,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"BONE MARROW, STERNUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",6,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"BONE, FEMUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",7,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"BONE, STERNUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",8,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"BRAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",9,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"ADIPOSE TISSUE, BROWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",10,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"LARGE INTESTINE, CECUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",11,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"LARGE INTESTINE, COLON",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",12,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"MUSCLE, DIAPHRAGM",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",13,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"SMALL INTESTINE, DUODENUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",14,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"EPIDIDYMIS",NA,NA,NA,NA,"BILATERAL",NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",15,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"ESOPHAGUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",16,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"EYE",NA,NA,NA,NA,"BILATERAL",NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",17,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"GLAND, HARDERIAN",NA,NA,NA,NA,"BILATERAL",NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",18,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"HEART:Cyst: valvular, focal, grade 1","Cyst",NA,NA,NA,NA,"HEART",NA,NA,NA,NA,NA,NA,NA,"MINIMAL",NA,"2007-07-10",29
"GLP003","MI","107001493",19,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"HEART:Degeneration: myocardial cell, focal, grade 1","Degeneration",NA,NA,NA,NA,"HEART",NA,NA,NA,NA,NA,NA,NA,"MINIMAL",NA,"2007-07-10",29
"GLP003","MI","107001493",20,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"SMALL INTESTINE, ILEUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",21,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"SMALL INTESTINE, JEJUNUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",22,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"KIDNEYS:Vacuolation: tubular epithelium, multifocal, bilateral, grade 1","Vacuolation",NA,NA,NA,NA,"KIDNEY",NA,NA,NA,NA,"BILATERAL",NA,NA,"MINIMAL",NA,"2007-07-10",29
"GLP003","MI","107001493",23,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"LIVER",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",24,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"LUNG:Histiocytosis: alveolar space, focal, grade 1","Histiocytosis",NA,NA,NA,NA,"LUNG",NA,NA,NA,NA,NA,NA,NA,"MINIMAL",NA,"2007-07-10",29
"GLP003","MI","107001493",25,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"SKELETAL MUSCLE, QUADRICEPS FEMORIS:Degeneration: skeletal muscle cell, multifocal, grade 1","Degeneration",NA,NA,NA,NA,"MUSCLE, QUADRICEPS FEMORIS",NA,NA,NA,NA,NA,NA,NA,"MINIMAL",NA,"2007-07-10",29
"GLP003","MI","107001493",26,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"GLAND, MAMMARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",27,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"LYMPH NODE, SUBMANDIBULAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",28,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"GLAND, SALIVARY, SUBMANDIBULAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",29,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"LYMPH NODE, MESENTERIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",30,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"NERVE, OPTIC",NA,NA,NA,NA,"BILATERAL",NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",31,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"PANCREAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",32,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"GLAND, PARATHYROID",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",33,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"GLAND, PITUITARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","MI","107001493",34,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"PROSTATE GLAND:Inflammation: chronic, multifocal, grade 2","Inflammation",NA,NA,NA,NA,"GLAND, PROSTATE",NA,NA,NA,NA,NA,NA,NA,"MILD",NA,"2007-07-10",29
"GLP003","MI","107001493",35,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"NERVE, SCIATIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
