"STUDYID","DOMAIN","USUBJID","OMSEQ","OMTESTCD","OMTEST","OMORRES","OMORRESU","OMSTRESC","OMSTRESN","OMSTRESU","OMSTAT","OMREASND","OMSPEC","OMANTREG","OMSPCCND","OMSPCUFL","OMLAT","OMDIR","OMPORTOT","OMEXCLFL","OMREASEX","OMDTC","OMDY"
"GLP003","OM","107001493",1,"WEIGHT","Weight","1.971","g","1.971",1.971,"g",NA,NA,"BRAIN",NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","OM","107001493",2,"WEIGHT","Weight","1.243","g","1.243",1.243,"g",NA,NA,"HEART",NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","OM","107001493",3,"WEIGHT","Weight","11.962","g","11.962",11.962,"g",NA,NA,"LIVER",NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","OM","107001493",4,"WEIGHT","Weight","2.579","g","2.579",2.579,"g",NA,NA,"KIDNEY",NA,NA,NA,"BILATERAL",NA,NA,NA,NA,"2007-07-10",29
"GLP003","OM","107001493",5,"WEIGHT","Weight","3.29","g","3.29",3.29,"g",NA,NA,"TESTIS",NA,NA,NA,"BILATERAL",NA,NA,NA,NA,"2007-07-10",29
"GLP003","OM","107001493",6,"WEIGHT","Weight","2.433","g","2.433",2.433,"g",NA,NA,"GLAND, PROSTATE",NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","OM","107001493",7,"WEIGHT","Weight",".011","g","0.011",0.011,"g",NA,NA,"GLAND, PITUITARY",NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","OM","107001493",8,"WEIGHT","Weight",".036","g","0.036",0.036,"g",NA,NA,"GLAND, THYROID",NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","OM","107001493",9,"WEIGHT","Weight",".062","g","0.062",0.062,"g",NA,NA,"GLAND, ADRENAL",NA,NA,NA,"BILATERAL",NA,NA,NA,NA,"2007-07-10",29
"GLP003","OM","107001493",10,"WEIGHT","Weight",".715","g","0.715",0.715,"g",NA,NA,"SPLEEN",NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
"GLP003","OM","107001493",11,"WEIGHT","Weight",".599","g","0.599",0.599,"g",NA,NA,"THYMUS",NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-10",29
