"STUDYID","DOMAIN","USUBJID","POOLID","PPSEQ","PPGRPID","PPTESTCD","PPTEST","PPCAT","PPSCAT","PPORRES","PPORRESU","PPSTRESC","PPSTRESN","PPSTRESU","PPSTAT","PPREASND","PPSPEC","VISITDY","PPTPTREF","PPRFTDTC","PPSTINT","PPENINT"
"GLP003","PP",NA,"8m1",1,"8m1","CMAX","Max Conc","XYZ-12345",NA,"11900","ng/mL","11900",11900,"ng/mL",NA,NA,"PLASMA",1,"Day 1 Dose","2007-06-12",NA,NA
"GLP003","PP",NA,"8f1",2,"8f1","CMAX","Max Conc","XYZ-12345",NA,"14000","ng/mL","14000",14000,"ng/mL",NA,NA,"PLASMA",1,"Day 1 Dose","2007-06-14",NA,NA
"GLP003","PP",NA,"9m1",3,"9m1","CMAX","Max Conc","XYZ-12345",NA,"48600","ng/mL","48600",48600,"ng/mL",NA,NA,"PLASMA",1,"Day 1 Dose","2007-06-12",NA,NA
"GLP003","PP",NA,"9f1",4,"9f1","CMAX","Max Conc","XYZ-12345",NA,"52700","ng/mL","52700",52700,"ng/mL",NA,NA,"PLASMA",1,"Day 1 Dose","2007-06-14",NA,NA
"GLP003","PP",NA,"10m1",5,"10m1","CMAX","Max Conc","XYZ-12345",NA,"54300","ng/mL","54300",54300,"ng/mL",NA,NA,"PLASMA",1,"Day 1 Dose","2007-06-12",NA,NA
"GLP003","PP",NA,"10f1",6,"10f1","CMAX","Max Conc","XYZ-12345",NA,"54400","ng/mL","54400",54400,"ng/mL",NA,NA,"PLASMA",1,"Day 1 Dose","2007-06-14",NA,NA
"GLP003","PP",NA,"8m28",7,"8m28","CMAX","Max Conc","XYZ-12345",NA,"10100","ng/mL","10100",10100,"ng/mL",NA,NA,"PLASMA",28,"Day 28 Dose","2007-07-09",NA,NA
"GLP003","PP",NA,"8f28",8,"8f28","CMAX","Max Conc","XYZ-12345",NA,"14300","ng/mL","14300",14300,"ng/mL",NA,NA,"PLASMA",28,"Day 28 Dose","2007-07-11",NA,NA
"GLP003","PP",NA,"9m28",9,"9m28","CMAX","Max Conc","XYZ-12345",NA,"39100","ng/mL","39100",39100,"ng/mL",NA,NA,"PLASMA",28,"Day 28 Dose","2007-07-09",NA,NA
"GLP003","PP",NA,"9f28",10,"9f28","CMAX","Max Conc","XYZ-12345",NA,"65500","ng/mL","65500",65500,"ng/mL",NA,NA,"PLASMA",28,"Day 28 Dose","2007-07-11",NA,NA
"GLP003","PP",NA,"10m28",11,"10m28","CMAX","Max Conc","XYZ-12345",NA,"47300","ng/mL","47300",47300,"ng/mL",NA,NA,"PLASMA",28,"Day 28 Dose","2007-07-09",NA,NA
"GLP003","PP",NA,"10f28",12,"10f28","CMAX","Max Conc","XYZ-12345",NA,"58700","ng/mL","58700",58700,"ng/mL",NA,NA,"PLASMA",28,"Day 28 Dose","2007-07-11",NA,NA
"GLP003","PP",NA,"8m1",13,"8m1","AUCALL","AUC All","XYZ-12345",NA,"205000","h*ng/mL","205000",205000,"h*ng/mL",NA,NA,"PLASMA",1,"Day 1 Dose","2007-06-12",NA,NA
"GLP003","PP",NA,"8f1",14,"8f1","AUCALL","AUC All","XYZ-12345",NA,"195000","h*ng/mL","195000",195000,"h*ng/mL",NA,NA,"PLASMA",1,"Day 1 Dose","2007-06-14",NA,NA
"GLP003","PP",NA,"9m1",15,"9m1","AUCALL","AUC All","XYZ-12345",NA,"855000","h*ng/mL","855000",855000,"h*ng/mL",NA,NA,"PLASMA",1,"Day 1 Dose","2007-06-12",NA,NA
"GLP003","PP",NA,"9f1",16,"9f1","AUCALL","AUC All","XYZ-12345",NA,"885000","h*ng/mL","885000",885000,"h*ng/mL",NA,NA,"PLASMA",1,"Day 1 Dose","2007-06-14",NA,NA
"GLP003","PP",NA,"10m1",17,"10m1","AUCALL","AUC All","XYZ-12345",NA,"967000","h*ng/mL","967000",967000,"h*ng/mL",NA,NA,"PLASMA",1,"Day 1 Dose","2007-06-12",NA,NA
"GLP003","PP",NA,"10f1",18,"10f1","AUCALL","AUC All","XYZ-12345",NA,"968000","h*ng/mL","968000",968000,"h*ng/mL",NA,NA,"PLASMA",1,"Day 1 Dose","2007-06-14",NA,NA
"GLP003","PP",NA,"8m28",19,"8m28","AUCALL","AUC All","XYZ-12345",NA,"159000","h*ng/mL","159000",159000,"h*ng/mL",NA,NA,"PLASMA",28,"Day 28 Dose","2007-07-09",NA,NA
"GLP003","PP",NA,"8f28",20,"8f28","AUCALL","AUC All","XYZ-12345",NA,"189000","h*ng/mL","189000",189000,"h*ng/mL",NA,NA,"PLASMA",28,"Day 28 Dose","2007-07-11",NA,NA
"GLP003","PP",NA,"9m28",21,"9m28","AUCALL","AUC All","XYZ-12345",NA,"479000","h*ng/mL","479000",479000,"h*ng/mL",NA,NA,"PLASMA",28,"Day 28 Dose","2007-07-09",NA,NA
"GLP003","PP",NA,"9f28",22,"9f28","AUCALL","AUC All","XYZ-12345",NA,"695000","h*ng/mL","695000",695000,"h*ng/mL",NA,NA,"PLASMA",28,"Day 28 Dose","2007-07-11",NA,NA
"GLP003","PP",NA,"10m28",23,"10m28","AUCALL","AUC All","XYZ-12345",NA,"602000","h*ng/mL","602000",602000,"h*ng/mL",NA,NA,"PLASMA",28,"Day 28 Dose","2007-07-09",NA,NA
"GLP003","PP",NA,"10f28",24,"10f28","AUCALL","AUC All","XYZ-12345",NA,"1030000","h*ng/mL","1030000",1030000,"h*ng/mL",NA,NA,"PLASMA",28,"Day 28 Dose","2007-07-11",NA,NA
