"STUDYID","DOMAIN","USUBJID","SESEQ","ETCD","ELEMENT","SESTDTC","SEENDTC","SEUPDES"
"GLP003","SE","107001493",1,"SCREEN","Screening","2007-06-05","2007-06-12",NA
"GLP003","SE","107001427",2,"SCREEN","Screening","2007-06-05","2007-06-12",NA
"GLP003","SE","107001458",3,"SCREEN","Screening","2007-06-05","2007-06-12",NA
"GLP003","SE","107001389",4,"SCREEN","Screening","2007-06-05","2007-06-12",NA
"GLP003","SE","107001377",5,"SCREEN","Screening","2007-06-05","2007-06-12",NA
"GLP003","SE","107001472",6,"SCREEN","Screening","2007-06-05","2007-06-12",NA
"GLP003","SE","107001401",7,"SCREEN","Screening","2007-06-05","2007-06-12",NA
"GLP003","SE","107001466",8,"SCREEN","Screening","2007-06-05","2007-06-12",NA
"GLP003","SE","107001428",9,"SCREEN","Screening","2007-06-05","2007-06-12",NA
"GLP003","SE","107001483",10,"SCREEN","Screening","2007-06-05","2007-06-12",NA
"GLP003","SE","107001397",11,"SCREEN","Screening","2007-06-05","2007-06-12",NA
"GLP003","SE","107001467",12,"SCREEN","Screening","2007-06-05","2007-06-12",NA
"GLP003","SE","107001387",13,"SCREEN","Screening","2007-06-05","2007-06-12",NA
"GLP003","SE","107001384",14,"SCREEN","Screening","2007-06-05","2007-06-12",NA
"GLP003","SE","107001423",15,"SCREEN","Screening","2007-06-05","2007-06-12",NA
"GLP003","SE","107001529",16,"SCREEN","Screening","2007-06-05","2007-06-14",NA
"GLP003","SE","107001528",17,"SCREEN","Screening","2007-06-05","2007-06-14",NA
"GLP003","SE","107001576",18,"SCREEN","Screening","2007-06-05","2007-06-14",NA
"GLP003","SE","107001616",19,"SCREEN","Screening","2007-06-05","2007-06-14",NA
"GLP003","SE","107001500",20,"SCREEN","Screening","2007-06-05","2007-06-14",NA
"GLP003","SE","107001535",21,"SCREEN","Screening","2007-06-05","2007-06-14",NA
"GLP003","SE","107001647",22,"SCREEN","Screening","2007-06-05","2007-06-14",NA
"GLP003","SE","107001592",23,"SCREEN","Screening","2007-06-05","2007-06-14",NA
"GLP003","SE","107001569",24,"SCREEN","Screening","2007-06-05","2007-06-14",NA
"GLP003","SE","107001537",25,"SCREEN","Screening","2007-06-05","2007-06-14",NA
