"STUDYID","DOMAIN","ARMCD","ARM","TAETORD","ETCD","ELEMENT","TABRANCH","TATRANS","EPOCH"
"GLP003","TA","1","Control Vehicle",1,"SCREEN","Screening",NA,NA,"Screening"
"GLP003","TA","1","Control Vehicle",2,"C_1","0 mg/kg/day Vehicle Control",NA,NA,"Treatment"
"GLP003","TA","2","Control Water",1,"SCREEN","Screening",NA,NA,"Screening"
"GLP003","TA","2","Control Water",2,"C_2","0 mg/kg/day Negative Control",NA,NA,"Treatment"
"GLP003","TA","3","Low Dose",1,"SCREEN","Screening",NA,NA,"Screening"
"GLP003","TA","3","Low Dose",2,"D_3","60 mg/kg/day XYZ-12345",NA,NA,"Treatment"
"GLP003","TA","4","Intermediate Dose",1,"SCREEN","Screening",NA,NA,"Screening"
"GLP003","TA","4","Intermediate Dose",2,"D_4","200 mg/kg/day XYZ-12345",NA,NA,"Treatment"
"GLP003","TA","5","High Dose",1,"SCREEN","Screening",NA,NA,"Screening"
"GLP003","TA","5","High Dose",2,"D_5","600 mg/kg/day XYZ-12345",NA,NA,"Treatment"
"GLP003","TA","1R","Recovery Control Vehicle",1,"SCREEN","Screening",NA,NA,"Screening"
"GLP003","TA","1R","Recovery Control Vehicle",2,"C_1","0 mg/kg/day Vehicle Control",NA,NA,"Treatment"
"GLP003","TA","1R","Recovery Control Vehicle",3,"RECOVERY","Recovery",NA,NA,"Recovery"
"GLP003","TA","2R","Recovery Control Water",1,"SCREEN","Screening",NA,NA,"Screening"
"GLP003","TA","2R","Recovery Control Water",2,"C_2","0 mg/kg/day Negative Control",NA,NA,"Treatment"
"GLP003","TA","2R","Recovery Control Water",3,"RECOVERY","Recovery",NA,NA,"Recovery"
"GLP003","TA","3R","Recovery Low Dose",1,"SCREEN","Screening",NA,NA,"Screening"
"GLP003","TA","3R","Recovery Low Dose",2,"D_3","60 mg/kg/day XYZ-12345",NA,NA,"Treatment"
"GLP003","TA","3R","Recovery Low Dose",3,"RECOVERY","Recovery",NA,NA,"Recovery"
"GLP003","TA","4R","Recovery Intermediate Dose",1,"SCREEN","Screening",NA,NA,"Screening"
"GLP003","TA","4R","Recovery Intermediate Dose",2,"D_4","200 mg/kg/day XYZ-12345",NA,NA,"Treatment"
"GLP003","TA","4R","Recovery Intermediate Dose",3,"RECOVERY","Recovery",NA,NA,"Recovery"
"GLP003","TA","5R","Recovery High Dose",1,"SCREEN","Screening",NA,NA,"Screening"
"GLP003","TA","5R","Recovery High Dose",2,"D_5","600 mg/kg/day XYZ-12345",NA,NA,"Treatment"
"GLP003","TA","5R","Recovery High Dose",3,"RECOVERY","Recovery",NA,NA,"Recovery"
