"LBTEST","LBTESTCD","LBSPEC","SPECIES","SEX","LBSTRESU","LBSTRESM","LBSTRESSD","N"
"Albumin","ALB","PLASMA","DOG","F","g/dL",3.16714285714286,0.170422663458692,35
"Albumin","ALB","PLASMA","DOG","F","g/L",30.7697674418605,2.55020295855334,43
"Albumin","ALB","PLASMA","DOG","M","g/L",29.8054263565891,2.41173750439023,43
"Albumin","ALB","PLASMA","MONKEY","F","g/dL",4.32484848484848,0.357321404142804,11
"Albumin","ALB","PLASMA","MONKEY","F","g/L",45.3601190476191,3.7609097792242,30
"Albumin","ALB","PLASMA","MONKEY","M","g/dL",4.37575757575758,0.327366905641194,11
"Albumin","ALB","PLASMA","MONKEY","M","g/L",45.8106060606061,3.07334197108166,33
"Albumin","ALB","PLASMA","MOUSE","F","g/dL",3.22040816326531,0.149885993564091,98
"Albumin","ALB","PLASMA","MOUSE","F","g/L",35.4444444444444,1.28850937530792,27
"Albumin","ALB","PLASMA","MOUSE","M","g/L",30.6234042553191,1.59171943752898,47
"Albumin","ALB","PLASMA","RABBIT","F","g/L",39.27,0.852186729667988,10
"Albumin","ALB","PLASMA","RABBIT","M","g/L",38.18,1.672190845036,10
"Albumin","ALB","PLASMA","RAT","F","g/dL",3.58467625899281,0.825996654006976,278
"Albumin","ALB","PLASMA","RAT","F","g/L",47.4337539432177,8.26583453548137,317
"Albumin","ALB","PLASMA","RAT","M","g/dL",3.61115044247788,0.696647267033311,113
"Albumin","ALB","PLASMA","RAT","M","g/L",41.6045317220544,6.15353635759907,331
"Albumin","ALB","SERUM","DOG","F","g/dL",3.17853107344633,0.292982505553053,413
"Albumin","ALB","SERUM","DOG","F","g/L",31.9072811871227,3.26479094034768,142
"Albumin","ALB","SERUM","DOG","M","g/dL",3.11198702351987,0.312697350314215,411
"Albumin","ALB","SERUM","DOG","M","g/L",30.5118484080023,3.54909413295165,169
"Albumin","ALB","SERUM","MONKEY","F","g/dL",4.24881522748375,0.322971196638246,718
"Albumin","ALB","SERUM","MONKEY","F","g/L",44.3172884936076,3.80252013422809,257
