LBCAT,LBTEST,LBTESTCD,LBSPEC,SPECIES,SEX,LBSTRESM,LBSTRESSD,LBSTRESU,N
Biochemistry,Albumin,ALB,PLASMA,DOG,F,32.22222222,0.71539116,g/L,12
Biochemistry,Albumin,ALB,PLASMA,DOG,M,33.33333333,1.024941486,g/L,12
Biochemistry,Albumin,ALB,PLASMA,MONKEY,F,41.04761905,3.416283898,g/L,12
Biochemistry,Albumin,ALB,PLASMA,MOUSE,F,28.6,1.379655129,g/L,30
Biochemistry,Albumin,ALB,PLASMA,MOUSE,M,28.6,1.773366174,g/L,30
Biochemistry,Albumin,ALB,PLASMA,RAT,F,39.4,1.712697677,g/L,10
Biochemistry,Albumin,ALB,PLASMA,RAT,M,37,1.490711985,g/L,10
Biochemistry,Albumin,ALB,SERUM,RAT,F,45.39861111,2.069294243,g/L,24
Biochemistry,Albumin,ALB,SERUM,RAT,M,40.54108527,1.345811398,g/L,43
Biochemistry,Albumin/Globulin,ALBGLOB,PLASMA,DOG,F,1.744444444,0.166735339,RATIO,12
Biochemistry,Albumin/Globulin,ALBGLOB,PLASMA,DOG,M,1.57,0.091187453,RATIO,12
Biochemistry,Albumin/Globulin,ALBGLOB,PLASMA,MONKEY,F,0.981428571,0.139178614,RATIO,12
Biochemistry,Albumin/Globulin,ALBGLOB,PLASMA,MOUSE,F,2.574,0.207507374,RATIO,30
Biochemistry,Albumin/Globulin,ALBGLOB,PLASMA,MOUSE,M,1.914,0.053278708,RATIO,30
Biochemistry,Albumin/Globulin,ALBGLOB,PLASMA,RAT,F,1.598,0.119145103,RATIO,10
Biochemistry,Albumin/Globulin,ALBGLOB,PLASMA,RAT,M,1.504,0.084221929,RATIO,10
Biochemistry,Albumin/Globulin,ALBGLOB,SERUM,RAT,F,2.502777778,0.286730136,no units,24
Biochemistry,Albumin/Globulin,ALBGLOB,SERUM,RAT,M,2.173643411,0.182074777,no units,43
Biochemistry,Alkaline Phosphatase,ALP,PLASMA,DOG,F,244.5555556,46.66262609,U/L,12
Biochemistry,Alkaline Phosphatase,ALP,PLASMA,DOG,M,135.2222222,25.24119342,U/L,12
Biochemistry,Alkaline Phosphatase,ALP,PLASMA,MONKEY,F,296.6190476,26.76367636,U/L,12
Biochemistry,Alkaline Phosphatase,ALP,PLASMA,MOUSE,F,170.2,32.86587162,IU/L,30
Biochemistry,Alkaline Phosphatase,ALP,PLASMA,MOUSE,M,116.4,21.0182187,IU/L,30
Biochemistry,Alkaline Phosphatase,ALP,PLASMA,RAT,F,199.6,52.45781374,U/L,10
Biochemistry,Alkaline Phosphatase,ALP,PLASMA,RAT,M,245.6,27.05221289,U/L,10
Biochemistry,Alkaline Phosphatase,ALP,SERUM,RAT,F,54.91666667,9.362918947,U/L,24
Biochemistry,Alkaline Phosphatase,ALP,SERUM,RAT,M,146.3565891,53.41290668,U/L,43
Biochemistry,Alanine Aminotransferase,ALT,PLASMA,DOG,F,36.88888889,8.491627883,U/L,12
Biochemistry,Alanine Aminotransferase,ALT,PLASMA,DOG,M,35.88888889,2.731534269,U/L,12
Biochemistry,Alanine Aminotransferase,ALT,PLASMA,MONKEY,F,93.57142857,28.96456795,U/L,12
Biochemistry,Alanine Aminotransferase,ALT,PLASMA,MOUSE,F,33,9.366116481,IU/L,30
Biochemistry,Alanine Aminotransferase,ALT,PLASMA,MOUSE,M,26.8,4.95775255,IU/L,30
Biochemistry,Alanine Aminotransferase,ALT,SERUM,RAT,F,29.97222222,5.848255586,U/L,24
Biochemistry,Alanine Aminotransferase,ALT,SERUM,RAT,M,39.41085271,7.667990641,U/L,43
Biochemistry,Aspartate Aminotransferase,AST,PLASMA,DOG,F,25.66666667,4.413020221,U/L,12
Biochemistry,Aspartate Aminotransferase,AST,PLASMA,DOG,M,31.44444444,1.281833703,U/L,12
Biochemistry,Aspartate Aminotransferase,AST,PLASMA,MONKEY,F,32.95238095,3.655546188,U/L,12
Biochemistry,Aspartate Aminotransferase,AST,PLASMA,MOUSE,F,76.4,18.16704102,IU/L,30
Biochemistry,Aspartate Aminotransferase,AST,PLASMA,MOUSE,M,49.2,5.320098521,IU/L,30
Biochemistry,Aspartate Aminotransferase,AST,PLASMA,RAT,F,73.2,15.86610643,U/L,10
Biochemistry,Aspartate Aminotransferase,AST,PLASMA,RAT,M,69.4,5.274677452,U/L,10
Biochemistry,Aspartate Aminotransferase,AST,SERUM,RAT,F,87.36111111,13.25663326,U/L,24
