CDISC SEND Rule ID,Class,Domain,Variable,Plain Text Explanation of Condition/Rule,Condition,Rule,Cited Document,Cited Document Section,Cited Item,Cited Guidance,Release Notes
45,ALL,ALL,--SCAT,--SCAT should not be the same as --DECOD or --BODSYS,--SCAT ^= null,--SCAT ^= --DECOD or --BODSYS,SENDIG v3.1,4.2.6,Text,Values for --CAT and --SCAT should not be redundant with the domain or dictionary classification provided by --DECOD and --BODSYS.,
279,"INT, FND",ALL,--ELTM,  --TPTREF must be populated when --ELTM is populated because --ELTM is relative to --TPTREF,--ELTM ^= null,--TPTREF ^= null,SENDIG v3.0,4.4.7,Text,"Time points can be represented using the time point variables, --TPT, --TPTNUM, --ELTM, and the time point anchors, --TPTREF (text description) and --RFTDTC (the date/time).; See also --ELTM CDISC Notes in Domain Tables (e.g., ""Planned elapsed time (in ISO 8601) format relative to the planned fixed reference (EXTPTREF)."")",
262.1,REL,POOLDEF,ALL," One record per subject per pool, Tabulation.",,One record per subject per pool,SENDIG v3.1,8.5.1,Domain Table Header,"pooldef.xpt, Pool Definition - Relationship Datasets. One record per subject per pool, Tabulation.",Versioned to reflect cited guidance change. 
182.1,FND,"LB, MA, MI, PC",--SPCUFL," --SPCUFL should be ""N"" or null.",--SPCUFL ^=null,"--SPCUFL = ""N"" ",SENDIG v3.1,6.3.6 | 6.3.7 | 6.3.8 | 6.3.1.1,--SPCUFL CDSIC Notes,Describes the usability of the specimen for the test. Example: N = the specimen is not usable; otherwise null.,"Cited guidance updated, additional domains added."
NEW SEND RULE 294,FND,ALL,--TPTREF, --TPTREF must be populated when --STINT and --ENINT are populated.,--STINT ^= null AND --ENINT ^= null,--TPTREF ^= null,SENDIG v3.1,4.4.7.2.3,Text,"Time points with collections over a duration also typically include the --STINT and --ENINT variables, which specify the start and end of the period over which the assessment was evaluated, based on the --TPTREF anchor.",New cited guidance.
71.1,ALL,ALL,"--DY, --STDY, --ENDY","(--DY, --STDY, and --ENDY) describe the relative day of the observation starting with the reference date as Day 1.  ",--DY ^= null OR --STDY ^= null OR --ENDY ^= null,"--DY, --STDY, and --ENDY describe the relative day of the observation starting with the reference date of Day 1",SENDIG v3.1,4.4.4,Text,"The Study Day variables (--DY, --STDY, and --ENDY) describe the relative day of the observation, starting with the reference date as Day 1.",Cited guidance reference updated; no implementation impact.
11,ALL,ALL,GEN,A permissible variable should be used in a domain as appropriate when collected or derived.,Variable Core Status = Permissible and data is collected,Variable present in dataset and ^= null,SENDIG v3.0,4.1.3,Text,"A Permissible variable should be used in a domain as appropriate when collected or derived. Except where restricted by specific domain assumptions, any SDTM Timing and Identifier variables and any Qualifier variables from the same general observation class are permissible for use in a domain based on that general observation class. The sponsor can decide whether a Permissible variable should be included as a column when all values for that variable are null.",
11,ALL,ALL,GEN,A permissible variable should be used in a domain as appropriate when collected or derived.,Variable Core Status = Permissible and data is collected,Variable present in dataset and ^= null,SENDIG v3.1,4.1.3,Text,"A Permissible variable should be used in a domain as appropriate when collected or derived. Except where restricted by specific domain assumptions, any SDTM Timing and Identifier variables and any Qualifier variables from the same general observation class are permissible for use in a domain based on that general observation class. The sponsor can decide whether a Permissible variable should be included as a column when all values for that variable are null.",
263,REL,POOLDEF,POOLID,A pool must consist of at least one subject.,,A pool must consist of at least one subject.,SENDIG v3.0,8.7.1.1,Assumption 1.b,A pool must consist of at least one subject.,
263,REL,POOLDEF,POOLID,A pool must consist of at least one subject.,,A pool must consist of at least one subject.,SENDIG v3.1,8.5.1.1,Assumption 1.b,A pool must consist of at least one subject.,Cited guidance reference updated; no implementation impact.
