Len,Source,Category,CTCode,Value
99,"SODIUM N-\(CARBONYL-METHOXYPOLYETHYLENE GLYCOL 2000\)-1,2-DISTEAROYL-SN-GLYCERO-3-PHOSPHOETHANOLAMINE",c,3L6NN8ZZKU,"SODIUM N-\(CARBONYL-METHOXYPOLYETHYLENE GLYCOL 2000\)-1,2-DISTEAROYL-SN-GLYCERO-3-PHOSPHOETHANOLAMINE"
98,TRIMETHYLSILYL TREATED DIMETHICONOL/TRIMETHYLSILOXYSILICATE CROSSPOLYMER \(40/60 W/W; 5000000 PA\.S\),c,9N5G1G3D3H,TRIMETHYLSILYL TREATED DIMETHICONOL/TRIMETHYLSILOXYSILICATE CROSSPOLYMER \(40/60 W/W; 5000000 PA\.S\)
97,TRIMETHYLSILYL TREATED DIMETHICONOL/TRIMETHYLSILOXYSILICATE CROSSPOLYMER \(45/55 W/W; 100000 PA\.S\),c,5VBE2X0WG0,TRIMETHYLSILYL TREATED DIMETHICONOL/TRIMETHYLSILOXYSILICATE CROSSPOLYMER \(45/55 W/W; 100000 PA\.S\)
84,DIMETHYLAMINOETHYL METHACRYLATE - BUTYL METHACRYLATE - METHYL METHACRYLATE COPOLYMER,c,905HNO1SIH,DIMETHYLAMINOETHYL METHACRYLATE - BUTYL METHACRYLATE - METHYL METHACRYLATE COPOLYMER
81,POLY\(METHYL ACRYLATE-CO-METHYL METHACRYLATE-CO-METHACRYLIC ACID 7:3:1; 280000 MW\),c,99Q3C7L77T,POLY\(METHYL ACRYLATE-CO-METHYL METHACRYLATE-CO-METHACRYLIC ACID 7:3:1; 280000 MW\)
75,DIMETHICONOL/TRIMETHYLSILOXYSILICATE CROSSPOLYMER \(40/60 W/W; 1000000 PA\.S\),c,83D19O7250,DIMETHICONOL/TRIMETHYLSILOXYSILICATE CROSSPOLYMER \(40/60 W/W; 1000000 PA\.S\)
72,BUTYL ESTER OF METHYL VINYL ETHER/MALEIC ANHYDRIDE COPOLYMER \(125000 MW\),c,389H2R62BD,BUTYL ESTER OF METHYL VINYL ETHER/MALEIC ANHYDRIDE COPOLYMER \(125000 MW\)
70,LOW-SUBSTITUTED HYDROXYPROPYL CELLULOSE \(11% HYDROXYPROPYL; 100000 MW\),c,BMJ7J4127K,LOW-SUBSTITUTED HYDROXYPROPYL CELLULOSE \(11% HYDROXYPROPYL; 100000 MW\)
70,LOW-SUBSTITUTED HYDROXYPROPYL CELLULOSE \(11% HYDROXYPROPYL; 120000 MW\),c,NZ94SDL6WR,LOW-SUBSTITUTED HYDROXYPROPYL CELLULOSE \(11% HYDROXYPROPYL; 120000 MW\)
70,LOW-SUBSTITUTED HYDROXYPROPYL CELLULOSE \(11% HYDROXYPROPYL; 130000 MW\),c,7773C1ROEU,LOW-SUBSTITUTED HYDROXYPROPYL CELLULOSE \(11% HYDROXYPROPYL; 130000 MW\)
69,BUTYL METHACRYLATE AND METHYL METHACRYLATE COPOLYMER \(3:1; 150000 MW\),c,DJN2FGG8Z3,BUTYL METHACRYLATE AND METHYL METHACRYLATE COPOLYMER \(3:1; 150000 MW\)
69,POLYVINYL ALCOHOL GRAFT POLYETHYLENE GLYCOL COPOLYMER \(3:1; 45000 MW\),c,23ZQ42JZZH,POLYVINYL ALCOHOL GRAFT POLYETHYLENE GLYCOL COPOLYMER \(3:1; 45000 MW\)
68,DETOSU/TRIETHYLENE GLYCOL/TRIETHYLENE GLYCOL POLYGLYCOLIDE COPOLYMER,c,JC2Q67KRW7,DETOSU/TRIETHYLENE GLYCOL/TRIETHYLENE GLYCOL POLYGLYCOLIDE COPOLYMER
65,ETHYL ACRYLATE AND METHYL METHACRYLATE COPOLYMER \(2:1; 600000 MW\),c,XRK36F13ZZ,ETHYL ACRYLATE AND METHYL METHACRYLATE COPOLYMER \(2:1; 600000 MW\)
65,ETHYL ACRYLATE AND METHYL METHACRYLATE COPOLYMER \(2:1; 750000 MW\),c,P2OM2Q86BI,ETHYL ACRYLATE AND METHYL METHACRYLATE COPOLYMER \(2:1; 750000 MW\)
64,N-\[TRIS\(HYDROXYMETHYL\)-METHYL\]-2-AMINOETHANESULFONIC ACID BUFFER,c,L173DK6289,N-TRIS\(HYDROXYMETHYL\)METHYL-2-AMINOETHANESULFONIC ACID
63,CARBOMER HOMOPOLYMER TYPE A \(ALLYL PENTAERYTHRITOL CROSSLINKED\),c,F68VH75CJC,CARBOMER HOMOPOLYMER TYPE A \(ALLYL PENTAERYTHRITOL CROSSLINKED\)
63,CARBOMER HOMOPOLYMER TYPE B \(ALLYL PENTAERYTHRITOL CROSSLINKED\),c,HHT01ZNK31,CARBOMER HOMOPOLYMER TYPE B \(ALLYL PENTAERYTHRITOL CROSSLINKED\)
63,CARBOMER HOMOPOLYMER TYPE C \(ALLYL PENTAERYTHRITOL CROSSLINKED\),c,4Q93RCW27E,CARBOMER HOMOPOLYMER TYPE C \(ALLYL PENTAERYTHRITOL CROSSLINKED\)
61,CARBOMER COPOLYMER TYPE A \(ALLYL PENTAERYTHRITOL CROSSLINKED\),c,71DD5V995L,CARBOMER COPOLYMER TYPE A \(ALLYL PENTAERYTHRITOL CROSSLINKED\)
61,CARBOMER COPOLYMER TYPE B \(ALLYL PENTAERYTHRITOL CROSSLINKED\),c,809Y72KV36,CARBOMER COPOLYMER TYPE B \(ALLYL PENTAERYTHRITOL CROSSLINKED\)
57,METHYLCHLOROISOTHIAZOLINONE/METHYLISOTHIAZOLINONE MIXTURE,c,15O9QS218W,METHYLCHLOROISOTHIAZOLINONE/METHYLISOTHIAZOLINONE MIXTURE
56,\(2-\[4-\(2-HYDROXYETHYL\)-1-PIPERAZINYL\]ETHANESULFONIC ACID,c,RWW266YE9I,HYDROXYETHYLPIPERAZINE ETHANE SULFONIC ACID
56,METHACRYLIC ACID - ETHYL ACRYLATE COPOLYMER \(1:1\) TYPE A,c,NX76LV5T8J,METHACRYLIC ACID - ETHYL ACRYLATE COPOLYMER \(1:1\) TYPE A
56,METHACRYLIC ACID - ETHYL ACRYLATE COPOLYMER \(1:1\) TYPE A,c,NX76LV5T8J,METHACRYLIC ACID - ETHYL ACRYLATE COPOLYMER \(1:1\) TYPE A
