STUDYID=STUDY123
PCSPEC=PLASMA
PCTEST=ARTICLE123
PCTEST_unit=ug/mL
PCLLOQ=5
Columns=SUBJID 1 2 4 8 24
PCNOMDY=1
1001	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1002	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1003	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1004	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1005	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1006	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1501	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1502	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1503	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1504	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1505	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1606	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
PCNOMDY=85
1001	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1002	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1003	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1004	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1005	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1006	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1501	<LLOQ	<LLOQ	0.00887	<LLOQ	<LLOQ
1502	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1503	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1504	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1505	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1606	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
PCNIMDY=265
1001	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1002	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1003	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1004	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1005	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1006	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1501	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1502	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1503	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1504	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1505	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
1606	<LLOQ	<LLOQ	<LLOQ	<LLOQ	<LLOQ
Columns=SUBJID 1 2 4 8 24 AUCINT(h*ug/mL) CMAX(ug/mL) TMAX(h)
PCNOMDY=1
2001 0.612 0.703 0.716 0.499 0.521 13.0 0.716 4.0
2002 0.966 1.19 1.14 0.854 1.37 25.7 1.37 24
2003 0.627 0.680 0.683 0.585 0.331 12.2 0.683 4.0
2004 0.724 1.46 1.39 1.04 1.39 28.6 1.46 2.0
Mean 0.732 1.01 0.982 0.745 0.903 19.9 1.06 8.5
SD 0.164 0.382 0.342 0.248 0.556 8.49 0.415 10
2501 0.430 0.875 0.742 0.671 0.683 16.1 0.875 2.0
2502 0.554 0.759 0.692 0.587 0.824 16.2 0.824 24
2503 0.651 0.902 0.745 0.590 0.638 15.2 0.902 2.0
2504 0.449 0.634 0.574 0.680 0.458 13.6 0.680 8.0
Mean 0.521 0.792 0.688 0.632 0.651 15.3 0.820 9.0
SD 0.102 0.123 0.0800 0.0504 0.151 1.20 0.0989 10
3001 1.07 1.50 1.62 1.31 2.54 41.6 2.54 24
3002 0.745 1.49 2.32 2.13 1.31 41.7 2.32 4.0
3003 0.847 1.82 1.72 1.47 1.23 33.3 1.82 2.0
3004 0.605 1.51 1.40 1.86 2.81 48.1 2.81 24
3005 1.23 2.03 2.18 1.67 1.18 36.9 2.18 4.0
3006 0.821 1.26 1.43 1.86 1.93 41.0 1.93 24
Mean 0.886 1.60 1.78 1.72 1.83 40.4 2.27 14
SD 0.227 0.275 0.387 0.297 0.711 5.01 0.372 11
3501 0.600 1.47 2.40 2.33 1.89 48.4 2.40 4.0
3502 0.565 1.39 1.96 1.81 1.44 38.2 1.96 4.0
3503 0.589 1.02 1.11 0.921 0.470 18.4 1.11 4.0
3504 0.809 1.89 1.56 1.42 2.57 43.1 2.57 24
3505 0.649 0.877 0.797 0.682 0.532 15.4 0.877 2.0
3506 0.796 1.36 1.57 1.29 1.20 30.1 1.57 4.0
Mean 0.668 1.33 1.57 1.41 1.35 32.3 1.75 7.0
SD 0.108 0.357 0.574 0.598 0.807 13.4 0.685 8.4
4001 0.638 1.64 3.21 6.04 6.87 128 6.87 24
4002 0.944 2.00 2.35 3.46 4.21 79.2 4.21 24
4004 0.900 1.59 1.45 1.11 0.758 24.8 1.59 2.0
4005 0.957 2.16 2.35 3.58 4.19 80.6 4.19 24
4006 0.680 0.946 1.14 0.918 2.01 30.8 2.01 24
4103 0.822 1.52 2.03 5.26 5.60 107 5.60 24
Mean 0.824 1.64 2.09 3.39 3.94 75.1 4.08 20
SD 0.137 0.424 0.736 2.09 2.25 40.9 2.03 9.0
4501 0.744 3.35 8.24 11.1 10.1 222 11.1 8.0
4502 0.958 3.03 5.32 4.42 6.86 121 6.86 24
4503 1.56 1.88 2.04 1.84 2.42 48.3 2.42 24
4504 0.933 3.40 5.52 10.0 10.1 204 10.1 24
4506 0.956 1.68 2.53 2.49 1.92 51.4 2.53 4.0
4605 0.598 1.05 1.23 1.26 1.85 33.2 1.85 24
Mean 0.958 2.40 4.15 5.18 5.54 113 5.81 18
SD 0.328 0.991 2.67 4.30 3.99 83.2 4.13 9.4
PCNOMDY=85
2001 2.36 3.05 3.02 2.26 1.41 50.6 3.05 2.0
2002 3.25 3.91 3.63 2.98 3.10 76.1 3.91 2.0
2003 3.74 3.93 4.26 3.75 3.91 93.1 4.26 4.0
