STUDYID, DOMAIN, USUBJID, POOLID, PCSEQ, PCGRPID, PCREFID, PCSPID, PCTESTCD, PCTEST, PCCAT, PCSCAT, PCORRES, PCORRESU, PCSTRESC, PCSTRESN, PCSTRESU, PCSTAT, PCREASND, PCNAM, PCSPEC, PCSPCCND, PCMETHOD, PCBLFL, PCFAST, PCDRVFL, PCLLOQ, PCEXCLFL, PCREASEX, VISITDY, PCDTC, PCENDTC, PCDY, PCENDY, PCTPT, PCTPTNUM, PCELTM, PCTPTREF, PCRFTDTC, PCEVLINT
STUDY123,PC,STUDY123-1001,,1,ARTICLE123-DAY1-STUDY123-1001,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 1H,10001,PT1H,,,
STUDY123,PC,STUDY123-1001,,2,ARTICLE123-DAY1-STUDY123-1001,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 2H,10002,PT2H,,,
STUDY123,PC,STUDY123-1001,,3,ARTICLE123-DAY1-STUDY123-1001,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 4H,10004,PT4H,,,
STUDY123,PC,STUDY123-1001,,4,ARTICLE123-DAY1-STUDY123-1001,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 8H,10008,PT8H,,,
STUDY123,PC,STUDY123-1001,,5,ARTICLE123-DAY1-STUDY123-1001,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,2,,DAY 1 24H,10024,PT24H,,,
STUDY123,PC,STUDY123-1002,,6,ARTICLE123-DAY1-STUDY123-1002,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 1H,10001,PT1H,,,
STUDY123,PC,STUDY123-1002,,7,ARTICLE123-DAY1-STUDY123-1002,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 2H,10002,PT2H,,,
STUDY123,PC,STUDY123-1002,,8,ARTICLE123-DAY1-STUDY123-1002,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 4H,10004,PT4H,,,
STUDY123,PC,STUDY123-1002,,9,ARTICLE123-DAY1-STUDY123-1002,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 8H,10008,PT8H,,,
STUDY123,PC,STUDY123-1002,,10,ARTICLE123-DAY1-STUDY123-1002,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,2,,DAY 1 24H,10024,PT24H,,,
