STUDYID, DOMAIN, USUBJID, POOLID, PPSEQ, PPGRPID, PPTESTCD, PPTEST, PPCAT, PPSCAT, PPORRES, PPORRESU, PPSTRESC, PPSTRESN, PPSTRESU, PPSTAT, PPREASND, PPSPEC, VISITDY, PPTPTREF, PPRFTDTC, PPSTINT, PPENINT
STUDY123,PP,STUDY123-2001,,1,ARTICLE123-DAY1-STUDY123-2001,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,13.0,h*ug/mL,13.0,13.0,h*ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-2001,,2,ARTICLE123-DAY1-STUDY123-2001,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,0.716,ug/mL,0.716,0.716,ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-2001,,3,ARTICLE123-DAY1-STUDY123-2001,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,4.0,h,4.0,4.0,h,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-2002,,4,ARTICLE123-DAY1-STUDY123-2002,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,25.7,h*ug/mL,25.7,25.7,h*ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-2002,,5,ARTICLE123-DAY1-STUDY123-2002,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,1.37,ug/mL,1.37,1.37,ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-2002,,6,ARTICLE123-DAY1-STUDY123-2002,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,24,h,24,24,h,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-2003,,7,ARTICLE123-DAY1-STUDY123-2003,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,12.2,h*ug/mL,12.2,12.2,h*ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-2003,,8,ARTICLE123-DAY1-STUDY123-2003,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,0.683,ug/mL,0.683,0.683,ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-2003,,9,ARTICLE123-DAY1-STUDY123-2003,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,4.0,h,4.0,4.0,h,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-2004,,10,ARTICLE123-DAY1-STUDY123-2004,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,28.6,h*ug/mL,28.6,28.6,h*ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-2004,,11,ARTICLE123-DAY1-STUDY123-2004,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,1.46,ug/mL,1.46,1.46,ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-2004,,12,ARTICLE123-DAY1-STUDY123-2004,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,2.0,h,2.0,2.0,h,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-2501,,13,ARTICLE123-DAY1-STUDY123-2501,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,16.1,h*ug/mL,16.1,16.1,h*ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-2501,,14,ARTICLE123-DAY1-STUDY123-2501,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,0.875,ug/mL,0.875,0.875,ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-2501,,15,ARTICLE123-DAY1-STUDY123-2501,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,2.0,h,2.0,2.0,h,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-2502,,16,ARTICLE123-DAY1-STUDY123-2502,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,16.2,h*ug/mL,16.2,16.2,h*ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-2502,,17,ARTICLE123-DAY1-STUDY123-2502,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,0.824,ug/mL,0.824,0.824,ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-2502,,18,ARTICLE123-DAY1-STUDY123-2502,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,24,h,24,24,h,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-2503,,19,ARTICLE123-DAY1-STUDY123-2503,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,15.2,h*ug/mL,15.2,15.2,h*ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-2503,,20,ARTICLE123-DAY1-STUDY123-2503,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,0.902,ug/mL,0.902,0.902,ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-2503,,21,ARTICLE123-DAY1-STUDY123-2503,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,2.0,h,2.0,2.0,h,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-2504,,22,ARTICLE123-DAY1-STUDY123-2504,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,13.6,h*ug/mL,13.6,13.6,h*ug/mL,,,PLASMA,1,,,PT0H, PT24H
